id,url,precio,expensas,area_m2,dormitorios,antiguedad,visitas,imagen_path,image_url,lat,lon
18506631,https://www.argenprop.com/departamento-en-alquiler-en-palermo-3-ambientes--18506631,$ 950.000 + $125.000 expensas,$125.000 expensas,50 m² cubie.,2 dorm.,50 años,11112,images/18506631.jpg,https://www.argenprop.com/static-content/13660581/124e39a4-6ce9-46d5-936a-f55563efc914_u_small.jpg,-34.59253,-58.41282
4219027,https://www.argenprop.com/departamento-en-alquiler-en-palermo-3-ambientes--4219027,$ 800.000 + $160.000 expensas,$160.000 expensas,53 m² cubie.,2 dorm.,50 años,8900,images/4219027.jpg,https://www.argenprop.com/static-content/7209124/2269e4ad-cd39-4078-ba29-dda956cac4d8_u_small.jpg,-34.58027,-58.40994
16381059,https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--16381059,$ 620.000 + $350.000 expensas,$350.000 expensas,46 m² cubie.,1 dorm.,,8594,images/16381059.jpg,https://www.argenprop.com/static-content/95018361/e0aaf7d3-20b3-40a9-af42-46c94eaf8e09_u_small.jpg,-34.59894,-58.41221
16150814,https://www.argenprop.com/departamento-en-alquiler-en-palermo--16150814,$ 480.000 + $160.000 expensas,$160.000 expensas,,,10 años,8594,images/16150814.jpg,https://www.argenprop.com/static-content/41805161/008346b2-565f-4832-b88a-3406f25b2225_u_small.jpg,-34.59884,-58.4122
15567556,https://www.argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--15567556,$ 450.000 + $199.000 expensas,$199.000 expensas,,,,8215,images/15567556.jpg,https://www.argenprop.com/static-content/65576551/bd0789b0-5b71-4e3a-a8bf-726fffd39313_u_small.jpg,-34.58469,-58.44497
18624974,https://www.argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--18624974,$ 750.000 + $195.000 expensas,$195.000 expensas,35 m² cubie.,,5 años,6710,images/18624974.jpg,https://www.argenprop.com/static-content/47942681/ef8e8f16-335d-4435-a4a7-c5c71c87a013_u_small.jpg,-34.576633,-58.43651
6688799,https://www.argenprop.com/departamento-en-alquiler-en-las-canitas--6688799,$ 430.000 + $70.000 expensas,$70.000 expensas,30 m² cubie.,,,6668,images/6688799.jpg,https://www.argenprop.com/static-content/9978866/93da9da1-0e06-4531-a0f8-3711dd7874dc_u_small.jpg,-34.56565,-58.44018
18688308,https://www.argenprop.com/departamento-en-alquiler-en-botanico-2-ambientes--18688308,$ 750.000 + $200.000 expensas,$200.000 expensas,36 m² cubie.,1 dorm.,15 años,6453,images/18688308.jpg,https://www.argenprop.com/static-content/80388681/dc8a8956-e55a-4505-9ad5-cd549461e2e7_u_small.jpg,-34.58207,-58.41242
18688932,https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-3-ambientes--18688932,$ 1.280.000,,65 m² cubie.,2 dorm.,30 años,6453,images/18688932.jpg,https://www.argenprop.com/static-content/23988681/9ac22519-c8ee-4665-a708-f6df65223c7e_u_small.jpg,-34.58469,-58.44098
18468803,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--18468803,USD 750 + $203.000 expensas,$203.000 expensas,40 m² cubie.,,,6300,images/18468803.jpg,https://www.argenprop.com/static-content/30886481/186a81da-ef72-4228-aff3-fbe5baca2e21_u_small.jpg,-34.553856,-58.449883
