idx,id,valido_desde,valido_hasta,url,precio,moneda,expensas,tipo_unidad,area_m2_cubierta,area_m2_descubierta,area_m2_total,antiguedad,estado_edificio,ambientes,banos,estado,disposicion,orientacion,cocheras,latitud,longitud,image_url,imagen_path,dormitorios,geometry,index_right,barrio,comuna,antiguedad_cat,estado_num,log_precio
1201,18958010.0,2026-02-04 22:45:59.067275,,https://www.argenprop.com/departamento-en-alquiler-en-parque-chacabuco-1-ambiente--18958010,610000.0,ARS,262000.0,,57.0,0.0,57.0,25.1,,1.0,1.0,Excelente,,N,0.0,-34.64191,-58.43901,https://proxy.sosiva451.com/proxy/2F098605F490F69E2C721FC54784A50CE765CC0C092DC64DFD4769412066738B12F9697A2AA4A745DAABCD1E92EB9CFFDDF022D2202A04CF12A9E044AC9FAF9BF5751CFBD56513CF28C09DD8CF6FE243309F556AE92ED0DE2C271308C2C43C6B,images/18958010.jpg,,POINT (-6505400.8356630225 -4115323.9980189833),22.0,Parque Chacabuco,7.0,25,5,13.321214236149494
1710,18545950.0,2026-02-04 22:46:01.419525,,https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--18545950,400000.0,ARS,130000.0,Departamento,43.0,0.0,43.0,40.0,,2.0,1.0,Bueno,Contrafrente,N,0.0,-34.6236,-58.42935,https://proxy.sosiva451.com/proxy/49B653431B6311DB85F9DB172CF4839A3E4931B357D9FCE3EBFC7E0ED10776D9A9349E5C1AB2AE26E2F4F727F71C5A3D4B6F9AFE916E4CBA0DF80DEF760F45777CAB3BA50E15C7523BE4D5BA7C0542A666F1D8B7A0862B4544FA467E8E019A68,images/18545950.jpg,,POINT (-6504325.48938196 -4112846.8089827485),7.0,Caballito,6.0,40,3,12.89921982609012
2050,18611146.0,2026-02-05 01:14:45.558247,,https://www.argenprop.com/departamento-en-alquiler-en-caballito-sur-2-ambientes--18611146,550000.0,ARS,120000.0,Departamento,45.0,0.0,45.0,45.0,,2.0,1.0,Excelente,Frente,,0.0,-34.62733,-58.43732,https://www.argenprop.com/static-content/64111681/437dd826-30bb-4e1a-892c-3b066115ee37_u_small.jpg,images/18611146.jpg,,POINT (-6505212.705723582 -4113351.4022743036),7.0,Caballito,6.0,45,5,13.217673557208654
2128,18445578.0,2026-02-05 01:14:45.825753,,https://www.argenprop.com/departamento-en-alquiler-en-puerto-madero-1-ambiente--18445578,1084000.0,ARS,315000.0,,38.0,0.0,38.0,39.80952380952381,,1.0,1.0,Muy Bueno,Lateral,S,0.0,-34.612797,-58.367764,https://www.argenprop.com/static-content/87554481/942da15f-f3cf-4892-9fb9-0955d1d69057_u_small.jpg,images/18445578.jpg,,POINT (-6497469.767221964 -4111385.5103086075),16.0,Monserrat,1.0,40,4,13.896168460981729
2191,18509615.0,2026-02-05 01:14:46.042691,,https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--18509615,800000.0,ARS,140000.0,,56.0,2.0,58.0,32.78313253012048,,2.0,1.0,Excelente,Contrafrente,N,0.0,-34.62066,-58.4421,https://www.argenprop.com/static-content/51690581/2d305aae-7268-4cfd-b609-2ae89df78a9a_u_small.jpg,images/18509615.jpg,,POINT (-6505744.812889573 -4112449.1026405506),7.0,Caballito,6.0,33,5,13.592367006650065
2226,18639456.0,2026-02-05 01:14:46.153856,,https://www.argenprop.com/departamento-en-alquiler-en-river-2-ambientes--18639456,889914.0,USD,0.0,,40.0,3.0,43.0,14.0,,2.0,1.0,Excelente,Frente,E,0.0,-34.55279,-58.457783,https://www.argenprop.com/static-content/65493681/2fd28851-8b79-4ff9-b24e-f009a9cfd7bc_u_small.jpg,images/18639456.jpg,,POINT (-6507490.636463684 -4103271.950712424),19.0,Nuñez,13.0,14,5,13.698880107825936
2336,17829777.0,2026-02-05 01:14:46.534348,,https://www.argenprop.com/departamento-en-alquiler-en-balvanera-2-ambientes--17829777,1186552.0,USD,173000.0,,59.0,3.0,62.0,39.94915254237288,,2.0,1.0,Excelente,Frente,N,0.0,-34.601913,-58.41207,https://www.argenprop.com/static-content/77792871/359f8816-4e7d-4b43-87b9-3ad981de961b_u_small.jpg,images/17829777.jpg,,POINT (-6502401.888581051 -4109913.4472319353),2.0,Balvanera,3.0,40,5,13.986562180277717
2391,10406227.0,2026-02-05 01:14:46.738110,,https://www.argenprop.com/departamento-en-alquiler-en-almagro-1-ambiente--10406227,530000.0,ARS,0.0,Departamento,30.0,0.0,30.0,45.0,,1.0,1.0,Muy Bueno,Contrafrente,,0.0,-34.60873,-58.41753,https://www.argenprop.com/static-content/72260401/a04a4d04-2fb8-43aa-b539-f7b5ed4d2a28_u_small.jpg,images/10406227.jpg,,POINT (-6503009.693000782 -4110835.4252018454),1.0,Almagro,5.0,45,4,13.180632285528304
2471,18783798.0,2026-02-05 01:14:47.047017,,https://www.argenprop.com/departamento-en-alquiler-en-palermo-3-ambientes--18783798,1038233.0,USD,250000.0,Duplex,70.0,5.0,75.0,45.0,,3.0,1.0,Excelente,Frente,,0.0,-34.58618,-58.41479,https://www.argenprop.com/static-content/89738781/a6ff82a3-4c62-4738-8aee-04b67b7b9d48_u_small.jpg,images/18783798.jpg,,POINT (-6502704.677596009 -4107785.8969223616),20.0,Palermo,14.0,45,5,13.853030787653195
2484,18592604.0,2026-02-05 01:14:47.094686,,https://www.argenprop.com/departamento-en-alquiler-en-tribunales-3-ambientes--18592604,900000.0,ARS,230000.0,,50.0,0.0,50.0,45.0,,3.0,1.0,Muy Bueno,Lateral,,0.0,-34.603844,-58.3879,https://www.argenprop.com/static-content/40629581/74fec1f2-5c7a-4a0a-9071-76307f06d3a2_u_small.jpg,images/18592604.jpg,,POINT (-6499711.2964885775 -4110174.601270868),31.0,San Nicolas,1.0,45,4,13.710150042306449
