id,url,precio,expensas,area_m2,dormitorios,antiguedad,puntaje_arg_prop,imagen_path,image_url,lat,lon,valido_desde,valido_hasta,geometry,index_right,barrio,comuna,ambientes,moneda
18800435,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--18800435,600000.0,160000.0,40.0,1 dorm.,27.31122448979592,3654.0,images/18800435.jpg,https://www.argenprop.com/static-content/53400881/d41246bc-0d5a-413c-9dcd-ce27ed42f08e_u_small.jpg,-34.57489,-58.44044,2026-01-27 19:05:20.636338,,POINT (367876.30146402115 6173155.760877872),20.0,Palermo,14.0,2,$
18758791,https://www.argenprop.com/departamento-en-alquiler-en-floresta-2-ambientes--18758791,85000.0,85000.0,65.0,2 dorm.,0.0,2463.0,images/18758791.jpg,https://www.argenprop.com/static-content/19785781/29c66f81-662b-4787-bb64-bbee26698cd0_u_small.jpg,-34.63205,-58.485,2026-01-27 19:05:20.636338,2026-02-01 19:13:50.044356,POINT (363882.058141988 6166757.354448262),33.0,Velez Sarsfield,10.0,3,$
18510818,https://www.argenprop.com/departamento-en-alquiler-en-almagro-1-ambiente--18510818,500000.0,150000.0,33.0,0,15.0,2230.0,images/18510818.jpg,https://www.argenprop.com/static-content/81801581/60a2de02-9245-43d9-bb36-f063ac252ade_u_small.jpg,-34.613037,-58.419346,2026-01-27 19:05:20.636338,2026-02-01 19:14:43.052925,POINT (369870.79528815113 6168952.630797377),1.0,Almagro,5.0,1,$
18427493,https://www.argenprop.com/departamento-en-alquiler-en-flores-1-ambiente--18427493,490000.0,107000.0,30.0,0,10.0,2011.0,images/18427493.jpg,https://www.argenprop.com/static-content/39472481/10fb759d-2673-4289-9d9d-92f16dcfc701_u_small.jpg,-34.634037,-58.463253,2026-01-27 19:05:20.636338,2026-02-01 19:16:38.995446,POINT (365878.7847186313 6166566.146283966),12.0,Flores,7.0,1,$
18418278,https://www.argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--18418278,650000.0,120000.0,40.0,1 dorm.,35.0,2000.0,images/18418278.jpg,https://www.argenprop.com/static-content/87281481/56594469-cb5b-4eb8-918c-05385359fec6_u_small.jpg,-34.633545,-58.460445,2026-01-27 19:05:20.636338,,POINT (366135.3942393763 6166624.443494994),12.0,Flores,7.0,2,$
18416930,https://www.argenprop.com/departamento-en-alquiler-en-flores-norte-2-ambientes--18416930,600000.0,118000.0,50.0,1 dorm.,40.0,1900.0,images/18416930.jpg,https://www.argenprop.com/static-content/03961481/93e50b7a-489f-45dc-891b-fc6ecb3ee9fa_u_small.jpg,-34.634644,-58.461674,2026-01-27 19:05:20.636338,,POINT (366024.50271845516 6166500.928693317),12.0,Flores,7.0,2,$
18418232,https://www.argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--18418232,650000.0,98000.0,38.0,1 dorm.,40.0,1899.0,images/18418232.jpg,https://www.argenprop.com/static-content/23281481/11443f54-38d3-48e2-8681-341ae495d78b_u_small.jpg,-34.6347,-58.461975,2026-01-27 19:05:20.636338,,POINT (365997.00132355 6166494.317981267),12.0,Flores,7.0,2,$
18643219,https://www.argenprop.com/departamento-en-alquiler-en-flores-norte-1-ambiente--18643219,600000.0,70000.0,37.0,0,0.0,1880.0,images/18643219.jpg,https://www.argenprop.com/static-content/91234681/6266ce67-51a1-49d8-919f-7b45b1f3b9f3_u_small.jpg,-34.62656,-58.458023,2026-01-27 19:05:20.636338,,POINT (366346.2074929218 6167402.310092282),12.0,Flores,7.0,1,$
9393052,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--9393052,670000.0,99700.0,40.0,1 dorm.,45.0,1500.0,images/9393052.jpg,https://www.argenprop.com/static-content/2503939/eed8c826-5f23-40ea-a3aa-b189b6a12e35_u_small.jpg,-34.59919,-58.40382,2026-01-27 19:05:20.636338,2026-02-01 19:22:51.969442,POINT (371272.98749312456 6170508.20192328),2.0,Balvanera,3.0,2,$
18805025,https://www.argenprop.com/departamento-en-alquiler-en-san-cristobal-2-ambientes--18805025,450000.0,120000.0,34.0,1 dorm.,62.0,1305.0,images/18805025.jpg,https://www.argenprop.com/static-content/52050881/32209d82-cb96-47aa-8cdd-47450921356c_u_small.jpg,-34.621113,-58.38714,2026-01-27 19:05:20.636338,2026-02-01 19:24:22.220036,POINT (372836.051526937 6168098.084566088),11.0,Constitucion,1.0,2,$
18753769,https://www.argenprop.com/departamento-en-alquiler-en-almagro-1-ambiente--18753769,470000.0,50000.0,34.0,0,55.0,1169.0,images/18753769.jpg,https://www.argenprop.com/static-content/96735781/6257577d-033a-40dc-beb7-a3fb5d991916_u_small.jpg,-34.6129,-58.41904,2026-01-27 19:05:20.636338,2026-02-01 19:26:18.754801,POINT (369898.6383969295 6168968.219114276),1.0,Almagro,5.0,1,$
18672836,https://www.argenprop.com/departamento-en-alquiler-en-colegiales-1-ambiente--18672836,610000.0,98000.0,34.0,0,0.0,1073.0,images/18672836.jpg,https://www.argenprop.com/static-content/63827681/6737104f-897a-4109-aee2-be9980a652ea_u_small.jpg,-34.5736,-58.44321,2026-01-27 19:05:20.636338,2026-02-01 19:29:54.889830,POINT (367620.15985190973 6173295.193849416),10.0,Colegiales,13.0,1,$
18664860,https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--18664860,550000.0,120000.0,42.0,1 dorm.,40.0,1060.0,images/18664860.jpg,https://www.argenprop.com/static-content/06846681/2c218ec7-69dc-4df0-ac9b-44d9c3721148_u_small.jpg,-34.61572,-58.436787,2026-01-27 19:05:20.636338,2026-02-01 19:30:05.759862,POINT (368275.8808928653 6168632.436388874),7.0,Caballito,6.0,2,$
18770784,https://www.argenprop.com/departamento-en-alquiler-en-san-cristobal-2-ambientes--18770784,500000.0,0.0,5.0,1 dorm.,0.0,989.0,images/18770784.jpg,https://www.argenprop.com/static-content/48707781/678aa3ec-9296-423b-b155-71f3e144ddf9_u_small.jpg,-34.62894,-58.39855,2026-01-27 19:05:20.636338,2026-02-01 19:34:37.167296,POINT (371802.02461268904 6167215.610577143),24.0,Parque Patricios,4.0,2,$
18611463,https://www.argenprop.com/departamento-en-alquiler-en-constitucion-2-ambientes--18611463,450000.0,80000.0,40.0,1 dorm.,0.0,950.0,images/18611463.jpg,https://www.argenprop.com/static-content/36411681/188984fd-8306-4262-862f-50cec1ed46bb_u_small.jpg,-34.62413,-58.39038,2026-01-27 19:05:20.636338,2026-02-01 19:35:45.334928,POINT (372543.62272215105 6167759.404935519),11.0,Constitucion,1.0,2,$
18348222,https://www.argenprop.com/departamento-en-alquiler-en-caballito-1-ambiente--18348222,500000.0,93000.0,25.0,0,0.0,800.0,images/18348222.jpg,https://www.argenprop.com/static-content/22284381/b2f1f955-10c0-4716-81f4-e0f351212507_u_small.jpg,-34.61346,-58.43499,2026-01-27 19:05:20.636338,2026-02-01 19:40:17.433713,POINT (368437.0749455931 6168885.42009578),7.0,Caballito,6.0,1,$
18431345,https://www.argenprop.com/departamento-en-alquiler-en-floresta-1-ambiente--18431345,400000.0,86000.0,23.0,1 dorm.,8.0,790.0,images/18431345.jpg,https://www.argenprop.com/static-content/54313481/80696115-3c58-4285-a79c-6f117eadfbdf_u_small.jpg,-34.62595,-58.48941,2026-01-27 19:05:20.636338,2026-02-01 19:41:02.061360,POINT (363467.8010147853 6167427.8968464555),13.0,Floresta,10.0,2,$
18794386,https://www.argenprop.com/departamento-en-alquiler-en-flores-sur-2-ambientes--18794386,650000.0,0.0,44.0,1 dorm.,10.0,722.0,images/18794386.jpg,https://www.argenprop.com/static-content/68349781/02507ee8-c9e0-4322-b8d7-34268ad2c3b9_u_small.jpg,-34.64128,-58.45954,2026-01-27 19:05:20.636338,2026-02-01 19:43:10.598292,POINT (366230.7761578602 6165767.814956132),12.0,Flores,7.0,2,$
18774825,https://www.argenprop.com/departamento-en-alquiler-en-balvanera-1-ambiente--18774825,300000.0,105000.0,22.0,0,33.39080459770115,720.0,images/18774825.jpg,https://www.argenprop.com/static-content/52847781/0dd9d88c-f0c7-47ce-aacf-70045ddacc2e_u_small.jpg,-34.60146,-58.40527,2026-01-27 19:05:20.636338,,POINT (371143.52319758997 6170254.605696812),2.0,Balvanera,3.0,1,$
18805204,https://www.argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--18805204,500000.0,140000.0,35.0,1 dorm.,50.0,700.0,images/18805204.jpg,https://www.argenprop.com/static-content/40250881/1e2b5bf7-640a-43c5-a963-dcb935232866_u_small.jpg,-34.62541,-58.46811,2026-01-27 19:05:20.636338,,POINT (365419.624824557 6167516.427282013),12.0,Flores,7.0,2,$
18447293,https://www.argenprop.com/departamento-en-alquiler-en-centro-1-ambiente--18447293,400000.0,140000.0,35.0,0,55.0,651.0,images/18447293.jpg,https://www.argenprop.com/static-content/39274481/56142bbf-e024-4328-ac99-c59059af99cf_u_small.jpg,-34.598804,-58.379314,2026-01-27 19:05:20.636338,2026-02-01 19:47:10.988457,POINT (373519.70197185874 6170582.0085412655),28.0,Retiro,1.0,1,$
10873526,https://www.argenprop.com/departamento-en-alquiler-en-flores-1-ambiente--10873526,580000.0,0.0,36.0,0,0.0,625.0,images/10873526.jpg,https://www.argenprop.com/static-content/62537801/dd69c959-ab4c-4e1b-8264-c47c691e6ef1_u_small.jpg,-34.64113,-58.45667,2026-01-27 19:05:20.636338,,POINT (366493.5961184128 6165788.256580388),12.0,Flores,7.0,1,$
18774795,https://www.argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--18774795,700000.0,200000.0,40.0,1 dorm.,27.255555555555556,600.0,images/18774795.jpg,https://www.argenprop.com/static-content/59747781/4700c049-bd19-41e6-a96f-174b534869d5_u_small.jpg,-34.6249,-58.45774,2026-01-27 19:05:20.636338,,POINT (366369.4894641161 6167586.782913197),12.0,Flores,7.0,2,$
6084056,https://www.argenprop.com/departamento-en-alquiler-en-flores-sur-2-ambientes--6084056,580000.0,0.0,42.0,1 dorm.,35.0,517.0,images/6084056.jpg,https://www.argenprop.com/static-content/6504806/50c5052c-923d-46bb-bf92-c6b17014461f_u_small.jpg,-34.6267,-58.45998,2026-01-27 19:05:20.636338,,POINT (366167.0245636409 6167384.18727028),12.0,Flores,7.0,2,$
