id,url,precio,expensas,area_m2,dormitorios,antiguedad,puntaje_arg_prop,imagen_path,image_url,lat,lon,valido_desde,valido_hasta,geometry,index_right,barrio,comuna,ambientes,moneda
18758791,https://www.argenprop.com/departamento-en-alquiler-en-floresta-2-ambientes--18758791,85000.0,85000.0,65.0,2 dorm.,0.0,2463.0,images/18758791.jpg,https://www.argenprop.com/static-content/19785781/29c66f81-662b-4787-bb64-bbee26698cd0_u_small.jpg,-34.63205,-58.485,2026-01-27 19:05:20.636338,2026-02-01 19:13:50.044356,POINT (-6510520.4190446045 -4113989.9549875557),33.0,Velez Sarsfield,10.0,3,$
18774825,https://www.argenprop.com/departamento-en-alquiler-en-balvanera-1-ambiente--18774825,300000.0,105000.0,22.0,0,33.39080459770115,720.0,images/18774825.jpg,https://www.argenprop.com/static-content/52847781/0dd9d88c-f0c7-47ce-aacf-70045ddacc2e_u_small.jpg,-34.60146,-58.40527,2026-01-27 19:05:20.636338,,POINT (-6501644.916043658 -4109852.1830778085),2.0,Balvanera,3.0,1,$
5487289,https://www.argenprop.com/departamento-en-alquiler-en-boedo--5487289,450000.0,50000.0,25.0,1 dorm.,40.0,256.0,images/5487289.jpg,https://www.argenprop.com/static-content/9827845/11f8c734-6197-4a2b-96fa-57824a2a1c6a_u_small.jpg,-34.61552,-58.41692,2026-01-27 19:05:20.636338,2026-02-01 20:23:36.718149,POINT (-6502941.788111399 -4111753.8267589025),1.0,Almagro,5.0,2,$
18790144,https://www.argenprop.com/departamento-en-alquiler-en-caballito-1-ambiente--18790144,450000.0,55000.0,27.0,0,0.0,200.0,images/18790144.jpg,https://www.argenprop.com/static-content/44109781/7c532df9-2fbf-488c-84bb-30e1c2d73053_u_small.jpg,-34.61451,-58.43666,2026-01-27 19:05:20.636338,2026-02-01 20:36:33.437379,POINT (-6505139.234859658 -4111617.2114621443),7.0,Caballito,6.0,1,$
15397965,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-2-ambientes--15397965,560000.0,200000.0,40.0,1 dorm.,40.0,100.0,images/15397965.jpg,https://www.argenprop.com/static-content/56979351/4f883e2f-965c-484b-a6bd-a60af37f872f_u_small.jpg,-34.58607,-58.41467,2026-01-27 19:05:20.636338,2026-02-01 21:15:00.510760,POINT (-6502691.319257113 -4107771.0232033697),20.0,Palermo,14.0,2,$
18611639,https://www.argenprop.com/departamento-en-alquiler-en-villa-devoto-1-ambiente--18611639,430000.0,200000.0,32.0,0,8.0,71.0,images/18611639.jpg,https://www.argenprop.com/static-content/93611681/d6e11f79-9280-4916-9767-bfd7bb0bbd0d_u_small.jpg,-34.59031,-58.51281,2026-01-27 19:05:20.636338,2026-02-01 21:27:10.507269,POINT (-6513616.214083566 -4108344.351710653),37.0,Villa Devoto,11.0,1,$
18178688,https://www.argenprop.com/departamento-en-alquiler-en-monserrat-1-ambiente--18178688,300000.0,150000.0,25.0,0,50.0,50.0,images/18178688.jpg,https://www.argenprop.com/static-content/88687181/dc734107-e602-43cd-9721-e2bb811ec5b7_u_small.jpg,-34.618694,-58.38724,2026-01-27 19:05:20.636338,,POINT (-6499637.825624654 -4112183.1612942554),11.0,Constitucion,1.0,1,$
4950960,https://www.argenprop.com/departamento-en-alquiler-en-almagro--4950960,380000.0,110000.0,20.0,0,50.0,27.0,images/4950960.jpg,https://www.argenprop.com/static-content/0690594/bcb11220-a27b-45d2-9345-a56b37a4e913_u_small.jpg,-34.61457,-58.41788,2026-01-27 19:05:20.636338,,POINT (-6503048.654822559 -4111625.327175907),1.0,Almagro,5.0,1,$
18835170,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-1-ambiente--18835170,400000.0,212000.0,32.0,0,50.0,5700.0,images/18835170.jpg,https://www.argenprop.com/static-content/07153881/25a9bcd7-b203-4f11-a96c-f4657b8fb746_u_small.jpg,-34.58764,-58.4016,2026-01-27 19:05:20.636338,,POINT (-6501236.373512445 -4107983.313603039),27.0,Recoleta,2.0,1,$
18894882,https://www.argenprop.com/departamento-en-alquiler-en-floresta-1-ambiente--18894882,350000.0,104000.0,34.0,0,0.0,1.0,images/18894882.jpg,https://proxy.sosiva451.com/proxy/814AD12B4EB329BC4DBCA08F3034568AA5284013E05FA89C62996D0FC31342DA0AA9622CD55B1A84401C8106CC76B7496BE27ECDE38DBC89BDE1FE2F94D31FBE2843FAB64946B14B5E6375B3B5DD482EF7C38AB21E3E6A9A000A81F5B85A2728149C954364B0CBD161B8D8199D17C0AC9E1617E532E1BDEB4C4B9209333E35C180521A280475920100ABCABB6909063C,-34.62508,-58.487946,2026-01-27 19:09:47.742676,,POINT (-6510848.366264481 -4113047.0202284255),13.0,Floresta,10.0,1,$
18879405,https://www.argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--18879405,400000.0,132000.0,31.0,1 dorm.,56.0,0.0,images/18879405.jpg,https://www.argenprop.com/static-content/50497881/2ca14f0b-ce0c-48d8-8f47-2fb5dca6a104_u_small.jpg,-34.62812,-58.45726,2026-01-27 19:09:49.247641,,POINT (-6507432.416369999 -4113458.2761504874),12.0,Flores,7.0,2,$
18938142,https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-1-ambiente--18938142,470000.0,170000.0,31.0,1 dorm.,21.0,0.0,images/18938142.jpg,https://www.argenprop.com/static-content/24183981/4a9b80e2-9f6b-4f00-b85f-388f7e6b5757_u_small.jpg,-34.59954,-58.43058,2026-02-01 19:09:53.120912,,POINT (-6504462.412355634 -4109592.5241473713),35.0,Villa Crespo,15.0,2,$
