idx,id,valido_desde,valido_hasta,url,precio,moneda,expensas,tipo_unidad,area_m2_cubierta,area_m2_descubierta,area_m2_total,antiguedad,estado_edificio,ambientes,banos,estado,disposicion,orientacion,cocheras,latitud,longitud,image_url,imagen_path,dormitorios,geometry,index_right,barrio,comuna,antiguedad_cat,estado_num,log_precio
29,18619106.0,2026-02-04 22:45:54.491002,,https://www.argenprop.com/departamento-en-alquiler-en-san-nicolas-3-ambientes--18619106,680000.0,ARS,227000.0,Departamento,63.0,0.0,63.0,85.0,,3.0,1.0,Muy Bueno,Contrafrente,,0.0,-34.60178,-58.3879,https://www.argenprop.com/static-content/60191681/936fd544-b732-4821-9139-3b60216b76e2_u_small.jpg,images/18619106.jpg,,POINT (-6499711.2964885775 -4109895.460149823),31.0,San Nicolas,1.0,85,4,13.42984807715229
1201,18958010.0,2026-02-04 22:45:59.067275,,https://www.argenprop.com/departamento-en-alquiler-en-parque-chacabuco-1-ambiente--18958010,610000.0,ARS,262000.0,,57.0,0.0,57.0,25.1,,1.0,1.0,Excelente,,N,0.0,-34.64191,-58.43901,https://proxy.sosiva451.com/proxy/2F098605F490F69E2C721FC54784A50CE765CC0C092DC64DFD4769412066738B12F9697A2AA4A745DAABCD1E92EB9CFFDDF022D2202A04CF12A9E044AC9FAF9BF5751CFBD56513CF28C09DD8CF6FE243309F556AE92ED0DE2C271308C2C43C6B,images/18958010.jpg,,POINT (-6505400.8356630225 -4115323.9980189833),22.0,Parque Chacabuco,7.0,25,5,13.321214236149494
1702,18618744.0,2026-02-04 22:46:01.387710,,https://www.argenprop.com/departamento-en-alquiler-en-barracas-1-ambiente--18618744,400000.0,ARS,110000.0,Departamento,30.0,0.0,30.0,10.0,,1.0,1.0,Muy Bueno,Contrafrente,,0.0,-34.62908,-58.36725,https://proxy.sosiva451.com/proxy/B72FBF7258CD988D3DEFA4D59B0C4C3CE6A0ECBD35EBB0BDB26C17D2BB7DB78E1649321850224F9F3FC40742ACADE3D890436C56ABE3EAD3FA1C53ABD075768AAA8ED48208821928CBB753E40CBAFF2B575149D3A788BD0703957159AAD5FE81,images/18618744.jpg,,POINT (-6497412.549003697 -4113588.149572233),5.0,La Boca,4.0,10,4,12.89921982609012
1709,18519428.0,2026-02-04 22:46:01.419525,,https://www.argenprop.com/departamento-en-alquiler-en-boca-1-ambiente--18519428,400000.0,ARS,110000.0,Departamento,30.0,0.0,30.0,10.0,,1.0,1.0,Muy Bueno,Contrafrente,,0.0,-34.62908,-58.36725,https://proxy.sosiva451.com/proxy/35432110E0F4A2BC52ED93FE48A151B1F421E2F9A370710F55FD6757FA080DB090EEECDC7B810CC9F7DB3E8B58A687E6DA5815F5BADB2D6AAFE7363FCD964BDAD1928E0D9F3462BC81AF46C3788D2ACB56609C03972A04FF2DDB11CD159333BB,images/18519428.jpg,,POINT (-6497412.549003697 -4113588.149572233),5.0,La Boca,4.0,10,4,12.89921982609012
1710,18545950.0,2026-02-04 22:46:01.419525,,https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--18545950,400000.0,ARS,130000.0,Departamento,43.0,0.0,43.0,40.0,,2.0,1.0,Bueno,Contrafrente,N,0.0,-34.6236,-58.42935,https://proxy.sosiva451.com/proxy/49B653431B6311DB85F9DB172CF4839A3E4931B357D9FCE3EBFC7E0ED10776D9A9349E5C1AB2AE26E2F4F727F71C5A3D4B6F9AFE916E4CBA0DF80DEF760F45777CAB3BA50E15C7523BE4D5BA7C0542A666F1D8B7A0862B4544FA467E8E019A68,images/18545950.jpg,,POINT (-6504325.48938196 -4112846.8089827485),7.0,Caballito,6.0,40,3,12.89921982609012
2050,18611146.0,2026-02-05 01:14:45.558247,,https://www.argenprop.com/departamento-en-alquiler-en-caballito-sur-2-ambientes--18611146,550000.0,ARS,120000.0,Departamento,45.0,0.0,45.0,45.0,,2.0,1.0,Excelente,Frente,,0.0,-34.62733,-58.43732,https://www.argenprop.com/static-content/64111681/437dd826-30bb-4e1a-892c-3b066115ee37_u_small.jpg,images/18611146.jpg,,POINT (-6505212.705723582 -4113351.4022743036),7.0,Caballito,6.0,45,5,13.217673557208654
2064,8295344.0,2026-02-05 01:14:45.605693,,https://www.argenprop.com/departamento-en-alquiler-en-almagro-1-ambiente--8295344,650000.0,ARS,130000.0,Departamento,37.0,0.0,37.0,12.0,,1.0,1.0,Excelente,Frente,,0.0,-34.60332,-58.41276,https://www.argenprop.com/static-content/4435928/72139b31-1319-4623-95d7-2e81149991ea_u_small.jpg,images/8295344.jpg,,POINT (-6502478.699029699 -4110103.733391194),2.0,Balvanera,3.0,12,5,13.38472764187182
2128,18445578.0,2026-02-05 01:14:45.825753,,https://www.argenprop.com/departamento-en-alquiler-en-puerto-madero-1-ambiente--18445578,1084000.0,ARS,315000.0,,38.0,0.0,38.0,39.80952380952381,,1.0,1.0,Muy Bueno,Lateral,S,0.0,-34.612797,-58.367764,https://www.argenprop.com/static-content/87554481/942da15f-f3cf-4892-9fb9-0955d1d69057_u_small.jpg,images/18445578.jpg,,POINT (-6497469.767221964 -4111385.5103086075),16.0,Monserrat,1.0,40,4,13.896168460981729
2191,18509615.0,2026-02-05 01:14:46.042691,,https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--18509615,800000.0,ARS,140000.0,,56.0,2.0,58.0,32.78313253012048,,2.0,1.0,Excelente,Contrafrente,N,0.0,-34.62066,-58.4421,https://www.argenprop.com/static-content/51690581/2d305aae-7268-4cfd-b609-2ae89df78a9a_u_small.jpg,images/18509615.jpg,,POINT (-6505744.812889573 -4112449.1026405506),7.0,Caballito,6.0,33,5,13.592367006650065
2216,8294518.0,2026-02-05 01:14:46.122102,,https://www.argenprop.com/departamento-en-alquiler-en-balvanera-1-ambiente--8294518,650000.0,ARS,130000.0,Departamento,37.0,0.0,37.0,12.0,,1.0,1.0,Excelente,Frente,,0.0,-34.60332,-58.41276,https://www.argenprop.com/static-content/8154928/92e46541-b4db-4dc3-bec3-8cb2a1c51773_u_small.jpg,images/8294518.jpg,,POINT (-6502478.699029699 -4110103.733391194),2.0,Balvanera,3.0,12,5,13.38472764187182
2220,17829639.0,2026-02-05 01:14:46.137917,,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-2-ambientes--17829639,1186552.0,USD,173000.0,,58.0,2.0,60.0,39.94915254237288,,2.0,1.0,Excelente,,,0.0,-34.601913,-58.41207,https://www.argenprop.com/static-content/93692871/4b17d49c-1f75-4534-a151-127a8a977404_u_small.jpg,images/17829639.jpg,,POINT (-6502401.888581051 -4109913.4472319353),2.0,Balvanera,3.0,40,5,13.986562180277717
2226,18639456.0,2026-02-05 01:14:46.153856,,https://www.argenprop.com/departamento-en-alquiler-en-river-2-ambientes--18639456,889914.0,USD,0.0,,40.0,3.0,43.0,14.0,,2.0,1.0,Excelente,Frente,E,0.0,-34.55279,-58.457783,https://www.argenprop.com/static-content/65493681/2fd28851-8b79-4ff9-b24e-f009a9cfd7bc_u_small.jpg,images/18639456.jpg,,POINT (-6507490.636463684 -4103271.950712424),19.0,Nuñez,13.0,14,5,13.698880107825936
2246,18518028.0,2026-02-05 01:14:46.233731,,https://www.argenprop.com/departamento-en-alquiler-en-villa-devoto-4-ambientes--18518028,2600000.0,ARS,0.0,Departamento,94.0,8.0,102.0,27.40909090909091,,4.0,2.0,Excelente,Contrafrente,N,0.0,-34.59224,-58.5123,https://www.argenprop.com/static-content/82081581/b0316e91-088f-490d-92ee-b6778e19525a_u_small.jpg,images/18518028.jpg,,POINT (-6513559.441143262 -4108605.334046617),37.0,Villa Devoto,11.0,27,5,14.77102200299171
2249,17364578.0,2026-02-05 01:14:46.233731,,https://www.argenprop.com/departamento-en-alquiler-en-boca-2-ambientes--17364578,950000.0,ARS,209000.0,Departamento,52.0,0.0,55.0,23.0,,2.0,2.0,Muy Bueno,Frente,,1.0,-34.63248,-58.37024,https://www.argenprop.com/static-content/87546371/bfd98c67-a4cf-4b88-8817-7d6045ed7f70_u_small.jpg,images/17364578.jpg,,POINT (-6497745.3942811685 -4114048.130027687),5.0,La Boca,4.0,23,4,13.764217263576723
2289,18634306.0,2026-02-05 01:14:46.375881,,https://www.argenprop.com/departamento-en-alquiler-en-barracas-1-ambiente--18634306,650000.0,ARS,136000.0,Departamento,30.0,0.0,34.0,38.18181818181818,,1.0,1.0,Excelente,Frente,E,1.0,-34.62821,-58.37243,https://www.argenprop.com/static-content/60343681/da3b07bd-d9f0-43b5-a93e-33d994f5c203_u_small.jpg,images/18634306.jpg,,POINT (-6497989.183966005 -4113470.4517199383),3.0,Barracas,4.0,38,5,13.38472764187182
2327,18619557.0,2026-02-05 01:14:46.502438,,https://www.argenprop.com/departamento-en-alquiler-en-villa-devoto-3-ambientes--18619557,790000.0,ARS,220000.0,Departamento,57.0,0.0,57.0,40.0,,3.0,1.0,Excelente,,,0.0,-34.60743,-58.50971,https://www.argenprop.com/static-content/75591681/be6de4cc-9005-4f93-8b9c-65e6439f50d0_u_small.jpg,images/18619557.jpg,,POINT (-6513271.123662106 -4110659.598419057),37.0,Villa Devoto,11.0,40,5,13.579788224443204
2336,17829777.0,2026-02-05 01:14:46.534348,,https://www.argenprop.com/departamento-en-alquiler-en-balvanera-2-ambientes--17829777,1186552.0,USD,173000.0,,59.0,3.0,62.0,39.94915254237288,,2.0,1.0,Excelente,Frente,N,0.0,-34.601913,-58.41207,https://www.argenprop.com/static-content/77792871/359f8816-4e7d-4b43-87b9-3ad981de961b_u_small.jpg,images/17829777.jpg,,POINT (-6502401.888581051 -4109913.4472319353),2.0,Balvanera,3.0,40,5,13.986562180277717
2340,18509610.0,2026-02-05 01:14:46.552362,,https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--18509610,700000.0,ARS,120000.0,,50.0,1.0,51.0,32.78313253012048,,2.0,1.0,Muy Bueno,Contrafrente,N,0.0,-34.62066,-58.4421,https://www.argenprop.com/static-content/01690581/d8aa68e1-4195-465d-b012-367c8be6c67d_u_small.jpg,images/18509610.jpg,,POINT (-6505744.812889573 -4112449.1026405506),7.0,Caballito,6.0,33,4,13.458835614025542
2391,10406227.0,2026-02-05 01:14:46.738110,,https://www.argenprop.com/departamento-en-alquiler-en-almagro-1-ambiente--10406227,530000.0,ARS,0.0,Departamento,30.0,0.0,30.0,45.0,,1.0,1.0,Muy Bueno,Contrafrente,,0.0,-34.60873,-58.41753,https://www.argenprop.com/static-content/72260401/a04a4d04-2fb8-43aa-b539-f7b5ed4d2a28_u_small.jpg,images/10406227.jpg,,POINT (-6503009.693000782 -4110835.4252018454),1.0,Almagro,5.0,45,4,13.180632285528304
2459,18837952.0,2026-02-05 01:14:46.982997,,https://www.argenprop.com/departamento-en-alquiler-en-barracas-1-ambiente--18837952,650000.0,ARS,136000.0,Departamento,30.0,0.0,34.0,38.18181818181818,,1.0,1.0,Excelente,Frente,E,1.0,-34.62821,-58.37243,https://www.argenprop.com/static-content/25973881/2a557994-8d2a-4ad5-ae3d-1e93cf30c094_u_small.jpg,images/18837952.jpg,,POINT (-6497989.183966005 -4113470.4517199383),3.0,Barracas,4.0,38,5,13.38472764187182
