id;url;precio;expensas;area_m2;dormitorios;antiguedad;lat;lon;valido_desde;valido_hasta;geometry;barrio;comuna;ambientes;moneda
18745414;https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--18745414;1200000;190000;66.0;2 dorm.;30.0;-41.101.510.687.574.100;-6.499.067.869.831.790;2026-01-27 19:05:20.636338;2026-02-01 19:13:55.115156;POINT (-6499067.869831793 -4110151.0687574153);San Nicolas;1.0;3;$
18401569;https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-1-ambiente--18401569;350000;135000;28.0;0;8.0;-41.098.016.032.112.200;-6.500.760.371.369.810;2026-01-27 19:05:20.636338;;POINT (-6500760.371369814 -4109801.6032112245);Balvanera;3.0;1;$
18179177;https://www.argenprop.com/departamento-en-alquiler-en-cid-campeador-3-ambientes--18179177;700000;150000;54.0;2 dorm.;50.0;-41.113.304.600.077.500;-6.505.688.039.949.260;2026-01-27 19:05:20.636338;2026-02-01 19:18:23.886543;POINT (-6505688.039949268 -4111330.4600077583);Caballito;6.0;3;$
18260068;https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte--18260068;430000;160000;32.0;0;40.0;-41.098.129.633.753.200;-6.500.922.452.548.400;2026-01-27 19:05:20.636338;;POINT (-6500922.452548409 -4109812.9633753295);Balvanera;3.0;1;$
16836389;https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-1-ambiente--16836389;450000;150000;32.0;0;3.339.080.459.770.110;-4.109.569.533.802.170;-6.501.323.202.715.260;2026-01-27 19:05:20.636338;;POINT (-6501323.202715265 -4109569.533802175);Balvanera;3.0;1;$
18705075;https://www.argenprop.com/departamento-en-alquiler-en-cid-campeador-1-ambiente--18705075;550000;125000;34.0;0;15.0;-41.111.194.588.973.300;-6.505.877.283.083.610;2026-01-27 19:05:20.636338;2026-02-01 19:24:49.086938;POINT (-6505877.283083617 -4111119.4588973396);Caballito;6.0;1;$
18324288;https://www.argenprop.com/departamento-en-alquiler-en-congreso-2-ambientes--18324288;440000;119000;35.0;1 dorm.;0.0;-41.103.512.319.400.600;-64.994.541.484.648.400;2026-01-27 19:05:20.636338;2026-02-01 19:30:39.708183;POINT (-6499454.1484648455 -4110351.2319400636);San Nicolas;1.0;2;$
18311579;https://www.argenprop.com/departamento-en-alquiler-en-once-2-ambientes--18311579;480000;150000;38.0;1 dorm.;30.0;-4.109.569.939.513.740;-6.501.323.202.715.260;2026-01-27 19:09:47.387018;;POINT (-6501323.202715265 -4109569.939513741);Balvanera;3.0;2;$
16963757;https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--16963757;450000;100000;26.0;1 dorm.;40.0;-41.079.968.354.204.200;-6.499.604.429.777.410;2026-01-27 19:05:20.636338;2026-02-01 19:32:38.112052;POINT (-6499604.429777417 -4107996.8354204227);Recoleta;2.0;2;$
18770351;https://www.argenprop.com/departamento-en-alquiler-en-balvanera-1-ambiente--18770351;630000;220000;33.96;0;12.0;-41.099.198.035.761.100;-6.500.677.549.668.660;2026-01-27 19:05:20.636338;;POINT (-6500677.549668664 -4109919.8035761113);Balvanera;3.0;1;$
18542292;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-2-ambientes--18542292;800000;100000;35.0;1 dorm.;5.0;-4.111.903.970.239.990;-6.499.227.056.703.620;2026-01-27 19:05:20.636338;2026-02-01 19:34:54.281902;POINT (-6499227.056703627 -4111903.970239996);Monserrat;1.0;2;$
17515445;https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--17515445;660000;99000;44.0;0;3.339.080.459.770.110;-41.097.020.670.266.300;-6.501.053.809.547.540;2026-01-27 19:05:20.636338;;POINT (-6501053.809547544 -4109702.0670266324);Balvanera;3.0;1;$
18470899;https://www.argenprop.com/departamento-en-alquiler-en-barracas-2-ambientes--18470899;550000;100000;36.0;1 dorm.;0.0;-41.139.419.269.839.900;-6.497.859.496.759.230;2026-01-27 19:05:20.636338;2026-02-01 19:36:14.942599;POINT (-6497859.496759231 -4113941.9269839935);Barracas;4.0;2;$
18906042;https://www.argenprop.com/departamento-en-alquiler-en-balvanera-3-ambientes--18906042;750000;75000;50.0;2 dorm.;50.0;-41.102.200.435.053.400;-650.101.373.453.086;2026-01-27 19:05:20.636338;;POINT (-6501013.73453086 -4110220.0435053464);Balvanera;3.0;3;$
18705102;https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-3-ambientes--18705102;800000;140000;80.0;2 dorm.;3.339.080.459.770.110;-41.098.197.253.832.200;-6.501.156.223.479.070;2026-01-27 19:05:20.636338;;POINT (-6501156.223479074 -4109819.7253832268);Balvanera;3.0;3;$
18790749;https://www.argenprop.com/departamento-en-alquiler-en-balvanera-2-ambientes--18790749;450000;106000;46.0;1 dorm.;40.0;-41.098.025.498.911.200;-6.501.337.006.332.120;2026-01-27 19:05:20.636338;2026-02-01 19:38:03.473134;POINT (-6501337.006332123 -4109802.5498911263);Balvanera;3.0;2;$
11842935;https://www.argenprop.com/departamento-en-alquiler-en-belgrano-r-2-ambientes--11842935;650000;188000;40.0;1 dorm.;50.0;-4.105.523.965.638.340;-6.508.774.929.428.960;2026-01-27 19:05:20.636338;2026-02-01 19:41:06.999535;POINT (-6508774.929428968 -4105523.965638341);Belgrano;13.0;2;$
18717071;https://www.argenprop.com/departamento-en-alquiler-en-villa-devoto-4-ambientes--18717071;1700000;172000;94.0;3 dorm.;2.0;-41.094.883.917.834.800;-6.513.283.368.806.090;2026-01-27 19:05:20.636338;2026-02-01 19:44:06.101798;POINT (-6513283.368806094 -4109488.3917834847);Villa Devoto;11.0;4;$
18722612;https://www.argenprop.com/departamento-en-alquiler-en-liniers-2-ambientes--18722612;680000;85000;42.0;1 dorm.;14.5;-4.116.191.346.367.120;-6.513.565.007.117.800;2026-01-27 19:05:20.636338;2026-02-01 19:48:28.327672;POINT (-6513565.007117801 -4116191.346367121);Liniers;9.0;2;$
6185219;https://www.argenprop.com/departamento-en-alquiler-en-caballito-1-ambiente--6185219;550000;150000;41.0;0;10.0;-4.111.009.902.192.240;-6.505.653.530.907.120;2026-01-27 19:05:20.636338;;POINT (-6505653.530907122 -4111009.902192244);Caballito;6.0;1;$
8424226;https://www.argenprop.com/departamento-en-alquiler-en-caballito-1-ambiente--8424226;570000;158000;32.0;0;27.273.224.043.715.800;-41.109.652.682.854.900;-6.505.877.283.083.610;2026-01-27 19:05:20.636338;;POINT (-6505877.283083617 -4110965.2682854934);Caballito;6.0;1;$
17835076;https://www.argenprop.com/departamento-en-alquiler-en-caballito-1-ambiente--17835076;600000;281300;44.0;0;5.0;-41.107.683.401.968.400;-65.053.881.452.410.700;2026-01-27 19:05:20.636338;;POINT (-6505388.1452410715 -4110768.3401968437);Caballito;6.0;1;$
18510050;https://www.argenprop.com/departamento-en-alquiler-en-caballito-1-ambiente--18510050;650000;212600;40.0;1 dorm.;3.0;-4.110.754.950.294.220;-6.505.386.030.170.740;2026-01-27 19:05:20.636338;;POINT (-6505386.030170747 -4110754.950294224);Caballito;6.0;2;$
18750642;https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--18750642;650000;0;48.0;1 dorm.;27.273.224.043.715.800;-4.111.256.068.138.100;-6.505.415.307.196.820;2026-01-27 19:05:20.636338;;POINT (-6505415.307196825 -4111256.068138103);Caballito;6.0;2;$
18785015;https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--18785015;650000;220000;38.0;1 dorm.;5.0;-4.109.019.131.938.960;-6.501.629.331.314.940;2026-01-27 19:05:20.636338;2026-02-01 19:56:53.993936;POINT (-6501629.331314946 -4109019.131938962);Recoleta;2.0;2;$
18785073;https://www.argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--18785073;650000;220000;38.0;0;5.0;-4.109.019.131.938.960;-6.501.629.331.314.940;2026-01-27 19:05:20.636338;2026-02-01 19:56:58.866780;POINT (-6501629.331314946 -4109019.131938962);Recoleta;2.0;1;$
5073474;https://www.argenprop.com/departamento-en-alquiler-en-caballito--5073474;700000;300000;50.0;1 dorm.;10.0;-41.111.005.230.941.200;-6.505.682.473.974.720;2026-01-27 19:05:20.636338;;POINT (-6505682.473974729 -4111100.5230941246);Caballito;6.0;2;$
18751031;https://www.argenprop.com/departamento-en-alquiler-en-caballito-norte-1-ambiente--18751031;750000;160000;29.0;0;0.0;-41.111.005.230.941.200;-6.505.639.059.373.310;2026-02-01 19:09:53.351976;;POINT (-6505639.059373319 -4111100.5230941246);Caballito;6.0;1;$
18418465;https://www.argenprop.com/departamento-en-alquiler-en-caballito--18418465;850000;150000;65.0;0;27.273.224.043.715.800;-41.111.938.498.619.500;-6.505.280.610.612.960;2026-01-27 19:05:20.636338;;POINT (-6505280.610612965 -4111193.8498619557);Caballito;6.0;1;$
15626124;https://www.argenprop.com/departamento-en-alquiler-en-flores-1-ambiente--15626124;460000;90000;29.0;0;7.0;-41.146.677.805.630.400;-6.509.105.548.316.620;2026-01-27 19:05:20.636338;2026-02-01 20:14:12.220007;POINT (-6509105.548316622 -4114667.7805630406);Parque Avellaneda;9.0;1;$
18373547;https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--18373547;400000;200000;38.0;1 dorm.;50.0;-4.108.167.211.713.770;-6.499.038.926.764.180;2026-01-27 19:05:20.636338;2026-02-01 20:16:57.496303;POINT (-6499038.926764187 -4108167.211713773);Retiro;1.0;2;$
18566936;https://www.argenprop.com/departamento-en-alquiler-en-caballito-3-ambientes--18566936;990000;212000;63.78;2 dorm.;2.0;-4.110.984.203.860.630;-6.505.788.227.490.980;2026-01-27 19:05:20.636338;;POINT (-6505788.227490983 -4110984.203860631);Caballito;6.0;3;$
18545571;https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--18545571;1100000;249000;45.0;1 dorm.;10.0;-4.111.342.633.269.710;-6.505.951.867.142.440;2026-01-27 19:05:20.636338;;POINT (-6505951.867142449 -4111342.633269716);Caballito;6.0;2;$
8424331;https://www.argenprop.com/departamento-en-alquiler-en-constitucion-1-ambiente--8424331;430000;290000;45.0;0;36.0;-41.125.221.496.879.400;-649.900.998.369.658;2026-01-27 19:05:20.636338;;POINT (-6499009.98369658 -4112522.1496879454);Constitucion;1.0;1;$
18800781;https://www.argenprop.com/departamento-en-alquiler-en-villa-pueyrredon-2-ambientes--18800781;670000;200000;44.0;1 dorm.;10.0;-41.081.388.154.854.600;-6.513.066.295.799.040;2026-01-27 19:05:20.636338;2026-02-01 20:26:11.330540;POINT (-6513066.295799047 -4108138.8154854635);Villa Pueyrredon;12.0;2;$
18450091;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-3-ambientes--18450091;680000;275000;90.0;2 dorm.;60.0;-41.121.826.202.196.000;-6.499.151.359.449.880;2026-01-27 19:05:20.636338;;POINT (-6499151.359449887 -4112182.6202196064);Constitucion;1.0;3;$
