idx,id,valido_desde,valido_hasta,url,precio,moneda,expensas,tipo_unidad,area_m2_cubierta,area_m2_descubierta,area_m2_total,antiguedad,estado_edificio,ambientes,banos,estado,disposicion,orientacion,cocheras,latitud,longitud,image_url,imagen_path,dormitorios,geometry,index_right,barrio,comuna,antiguedad_cat,estado_num,log_precio,tipo_valor_atipico
2191,18509615.0,2026-02-05 01:14:46.042691,,https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--18509615,800000.0,ARS,140000.0,,56.0,2.0,58.0,32.78313253012048,,2.0,1.0,Excelente,Contrafrente,N,0.0,-34.62066,-58.4421,https://www.argenprop.com/static-content/51690581/2d305aae-7268-4cfd-b609-2ae89df78a9a_u_small.jpg,images/18509615.jpg,,POINT (-6505744.812889573 -4112449.1026405506),7.0,Caballito,6.0,33,5,13.592367006650065,BAJO
2226,18639456.0,2026-02-05 01:14:46.153856,,https://www.argenprop.com/departamento-en-alquiler-en-river-2-ambientes--18639456,889914.0,USD,0.0,,40.0,3.0,43.0,14.0,,2.0,1.0,Excelente,Frente,E,0.0,-34.55279,-58.457783,https://www.argenprop.com/static-content/65493681/2fd28851-8b79-4ff9-b24e-f009a9cfd7bc_u_small.jpg,images/18639456.jpg,,POINT (-6507490.636463684 -4103271.950712424),19.0,Nuñez,13.0,14,5,13.698880107825936,BAJO
2336,17829777.0,2026-02-05 01:14:46.534348,,https://www.argenprop.com/departamento-en-alquiler-en-balvanera-2-ambientes--17829777,1186552.0,USD,173000.0,,59.0,3.0,62.0,39.94915254237288,,2.0,1.0,Excelente,Frente,N,0.0,-34.601913,-58.41207,https://www.argenprop.com/static-content/77792871/359f8816-4e7d-4b43-87b9-3ad981de961b_u_small.jpg,images/17829777.jpg,,POINT (-6502401.888581051 -4109913.4472319353),2.0,Balvanera,3.0,40,5,13.986562180277717,BAJO
2391,10406227.0,2026-02-05 01:14:46.738110,,https://www.argenprop.com/departamento-en-alquiler-en-almagro-1-ambiente--10406227,530000.0,ARS,0.0,Departamento,30.0,0.0,30.0,45.0,,1.0,1.0,Muy Bueno,Contrafrente,,0.0,-34.60873,-58.41753,https://www.argenprop.com/static-content/72260401/a04a4d04-2fb8-43aa-b539-f7b5ed4d2a28_u_small.jpg,images/10406227.jpg,,POINT (-6503009.693000782 -4110835.4252018454),1.0,Almagro,5.0,45,4,13.180632285528304,BAJO
2471,18783798.0,2026-02-05 01:14:47.047017,,https://www.argenprop.com/departamento-en-alquiler-en-palermo-3-ambientes--18783798,1038233.0,USD,250000.0,Duplex,70.0,5.0,75.0,45.0,,3.0,1.0,Excelente,Frente,,0.0,-34.58618,-58.41479,https://www.argenprop.com/static-content/89738781/a6ff82a3-4c62-4738-8aee-04b67b7b9d48_u_small.jpg,images/18783798.jpg,,POINT (-6502704.677596009 -4107785.8969223616),20.0,Palermo,14.0,45,5,13.853030787653195,BAJO
2484,18592604.0,2026-02-05 01:14:47.094686,,https://www.argenprop.com/departamento-en-alquiler-en-tribunales-3-ambientes--18592604,900000.0,ARS,230000.0,,50.0,0.0,50.0,45.0,,3.0,1.0,Muy Bueno,Lateral,,0.0,-34.603844,-58.3879,https://www.argenprop.com/static-content/40629581/74fec1f2-5c7a-4a0a-9071-76307f06d3a2_u_small.jpg,images/18592604.jpg,,POINT (-6499711.2964885775 -4110174.601270868),31.0,San Nicolas,1.0,45,4,13.710150042306449,BAJO
2561,18965773.0,2026-02-05 01:14:47.393751,,https://www.argenprop.com/departamento-en-alquiler-en-balvanera-2-ambientes--18965773,670000.0,ARS,200000.0,Departamento,38.0,3.0,41.0,10.0,,2.0,1.0,Excelente,Contrafrente,,0.0,-34.61502,-58.40689,https://www.argenprop.com/static-content/37756981/5b1150aa-32b6-4369-bb34-7bb026ef13a2_u_small.jpg,images/18965773.jpg,,POINT (-6501825.253618741 -4111686.1952161114),2.0,Balvanera,3.0,10,5,13.415032991367148,BAJO
2623,18634957.0,2026-02-05 01:14:47.612690,,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-3-ambientes--18634957,1781311.1900000002,USD,0.0,,54.0,6.0,60.0,6.0,,3.0,1.0,Excelente,Frente,,1.0,-34.567116,-58.432667,https://www.argenprop.com/static-content/75943681/95fd3f62-df9b-4af9-9ec6-d4bc40d4db72_u_small.jpg,images/18634957.jpg,,POINT (-6504694.736132921 -4105208.4400956975),20.0,Palermo,14.0,6,5,14.392860274689774,BAJO
2750,18703062.0,2026-02-05 01:14:48.065464,,https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-3-ambientes--18703062,790000.0,ARS,186000.0,Departamento,55.0,0.0,55.0,50.0,,3.0,1.0,Muy Bueno,Interno,E,0.0,-34.58422,-58.43828,https://www.argenprop.com/static-content/26030781/0c76b645-57f8-447f-8d6b-e1a9471b3fa5_u_small.jpg,images/18703062.jpg,,POINT (-6505319.572434743 -4107520.877243032),20.0,Palermo,14.0,50,4,13.579788224443204,BAJO
2772,18966061.0,2026-02-05 01:14:48.161397,,https://www.argenprop.com/departamento-en-alquiler-en-boedo-2-ambientes--18966061,670000.0,ARS,200000.0,Departamento,38.0,3.0,41.0,10.0,,2.0,1.0,Excelente,Contrafrente,,0.0,-34.61502,-58.40689,https://www.argenprop.com/static-content/16066981/a32f5044-15b3-4082-8664-71a42b4c2526_u_small.jpg,images/18966061.jpg,,POINT (-6501825.253618741 -4111686.1952161114),2.0,Balvanera,3.0,10,5,13.415032991367148,BAJO
