id;url;precio;expensas;area_m2;ambientes;antiguedad;barrio;comuna;moneda
18401569;https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-1-ambiente--18401569;350000;135000;28.0;1;8.0;Balvanera;3.0;$
18260068;https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte--18260068;430000;160000;32.0;1;40.0;Balvanera;3.0;$
16836389;https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-1-ambiente--16836389;450000;150000;32.0;1;3.339.080.459.770.110;Balvanera;3.0;$
18311579;https://www.argenprop.com/departamento-en-alquiler-en-once-2-ambientes--18311579;480000;150000;38.0;2;30.0;Balvanera;3.0;$
18770351;https://www.argenprop.com/departamento-en-alquiler-en-balvanera-1-ambiente--18770351;630000;220000;33.96;1;12.0;Balvanera;3.0;$
17515445;https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--17515445;660000;99000;44.0;1;3.339.080.459.770.110;Balvanera;3.0;$
18906042;https://www.argenprop.com/departamento-en-alquiler-en-balvanera-3-ambientes--18906042;750000;75000;50.0;3;50.0;Balvanera;3.0;$
18705102;https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-3-ambientes--18705102;800000;140000;80.0;3;3.339.080.459.770.110;Balvanera;3.0;$
6185219;https://www.argenprop.com/departamento-en-alquiler-en-caballito-1-ambiente--6185219;550000;150000;41.0;1;10.0;Caballito;6.0;$
8424226;https://www.argenprop.com/departamento-en-alquiler-en-caballito-1-ambiente--8424226;570000;158000;32.0;1;27.273.224.043.715.800;Caballito;6.0;$
17835076;https://www.argenprop.com/departamento-en-alquiler-en-caballito-1-ambiente--17835076;600000;281300;44.0;1;5.0;Caballito;6.0;$
18510050;https://www.argenprop.com/departamento-en-alquiler-en-caballito-1-ambiente--18510050;650000;212600;40.0;2;3.0;Caballito;6.0;$
18750642;https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--18750642;650000;0;48.0;2;27.273.224.043.715.800;Caballito;6.0;$
5073474;https://www.argenprop.com/departamento-en-alquiler-en-caballito--5073474;700000;300000;50.0;2;10.0;Caballito;6.0;$
18751031;https://www.argenprop.com/departamento-en-alquiler-en-caballito-norte-1-ambiente--18751031;750000;160000;29.0;1;0.0;Caballito;6.0;$
18418465;https://www.argenprop.com/departamento-en-alquiler-en-caballito--18418465;850000;150000;65.0;1;27.273.224.043.715.800;Caballito;6.0;$
18566936;https://www.argenprop.com/departamento-en-alquiler-en-caballito-3-ambientes--18566936;990000;212000;63.78;3;2.0;Caballito;6.0;$
18545571;https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--18545571;1100000;249000;45.0;2;10.0;Caballito;6.0;$
8424331;https://www.argenprop.com/departamento-en-alquiler-en-constitucion-1-ambiente--8424331;430000;290000;45.0;1;36.0;Constitucion;1.0;$
18450091;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-3-ambientes--18450091;680000;275000;90.0;3;60.0;Constitucion;1.0;$
18657698;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-2-ambientes--18657698;850000;168000;32.0;2;5.0;Constitucion;1.0;$
18665173;https://www.argenprop.com/departamento-en-alquiler-en-flores-1-ambiente--18665173;650000;140000;37.0;1;27.255.555.555.555.500;Flores;7.0;$
18752280;https://www.argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--18752280;800000;160000;40.3;2;0.0;Floresta;10.0;$
18679527;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-1-ambiente--18679527;400000;50000;27.0;1;50.0;Monserrat;1.0;$
18610027;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-1-ambiente--18610027;480000;270000;27.0;1;10.0;Monserrat;1.0;$
18169184;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-2-ambientes--18169184;500000;110000;36.0;2;45.0;Monserrat;1.0;$
18472215;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-2-ambientes--18472215;550000;75000;26.0;2;30.0;Monserrat;1.0;$
18115116;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-1-ambiente--18115116;550000;135000;35.0;2;15.0;Monserrat;1.0;$
11552195;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-1-ambiente--11552195;550000;0;35.0;1;40.0;Monserrat;1.0;$
18781128;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-2-ambientes--18781128;590000;98600;45.0;2;62.0;Monserrat;1.0;$
6155521;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-2-ambientes--6155521;700000;182000;38.9;2;31.45;Monserrat;1.0;$
18537598;https://www.argenprop.com/departamento-en-alquiler-en-san-telmo-2-ambientes--18537598;700000;0;36.0;2;31.45;Monserrat;1.0;$
18940109;https://www.argenprop.com/departamento-en-alquiler-en-san-telmo-3-ambientes--18940109;720000;0;55.0;3;0.0;Monserrat;1.0;$
18678781;https://www.argenprop.com/departamento-en-alquiler-en-san-telmo-2-ambientes--18678781;765000;0;48.0;2;4.0;Monserrat;1.0;$
18261302;https://www.argenprop.com/departamento-en-alquiler-en-san-telmo-3-ambientes--18261302;900000;150000;50.0;1;60.0;Monserrat;1.0;$
18575609;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-4-ambientes--18575609;1300000;262000;89.0;4;40.0;Monserrat;1.0;$
8015472;https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-1-ambiente--8015472;500000;103000;27.3;1;38.0;Recoleta;2.0;$
18880594;https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--18880594;500000;100000;25.0;1;45.0;Recoleta;2.0;$
18741379;https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-2-ambientes--18741379;600000;240000;45.0;2;50.0;Recoleta;2.0;$
14614900;https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte--14614900;650000;150000;35.0;1;45.0;Recoleta;2.0;$
18805679;https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--18805679;700000;120000;27.0;2;3.591.869.918.699.180;Recoleta;2.0;$
2458360;https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--2458360;930000;220000;72.0;3;50.0;Recoleta;2.0;$
18454496;https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--18454496;1300000;260000;85.0;2;55.0;Recoleta;2.0;$
18926028;https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-4-ambientes--18926028;2000000;740000;94.0;4;60.0;Recoleta;2.0;$
18054541;https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--18054541;480000;230000;28.0;1;30.0;Retiro;1.0;$
18657270;https://www.argenprop.com/departamento-en-alquiler-en-san-nicolas-1-ambiente--18657270;380000;90000;25.0;1;43.369.565.217.391.300;San Nicolas;1.0;$
12027144;https://www.argenprop.com/departamento-en-alquiler-en-centro-1-ambiente--12027144;400000;80000;23.0;1;60.0;San Nicolas;1.0;$
2855331;https://www.argenprop.com/departamento-en-alquiler-en-san-nicolas-1-ambiente--2855331;420000;115000;36.0;1;35.0;San Nicolas;1.0;$
18702166;https://www.argenprop.com/departamento-en-alquiler-en-congreso-2-ambientes--18702166;480000;170000;33.0;2;65.0;San Nicolas;1.0;$
18114979;https://www.argenprop.com/departamento-en-alquiler-en-microcentro-1-ambiente--18114979;550000;0;33.0;1;43.369.565.217.391.300;San Nicolas;1.0;$
14133591;https://www.argenprop.com/departamento-en-alquiler-en-balvanera-2-ambientes--14133591;700000;190000;51.0;2;33.0;San Nicolas;1.0;$
17530915;https://www.argenprop.com/departamento-en-alquiler-en-san-nicolas-3-ambientes--17530915;700000;250000;67.0;3;43.369.565.217.391.300;San Nicolas;1.0;$
