idx,id,valido_desde,valido_hasta,url,precio,moneda,expensas,tipo_unidad,area_m2_cubierta,area_m2_descubierta,area_m2_total,antiguedad,estado_edificio,ambientes,banos,estado,disposicion,orientacion,cocheras,latitud,longitud,image_url,imagen_path,dormitorios,geometry,index_right,barrio,comuna,antiguedad_cat,estado_num,log_precio,residuo
4256,18365811.0,2026-02-09 02:31:07.589351,,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--18365811,5191165.0,USD,680000.0,Departamento,140.0,0.0,150.0,25.0,,3.0,4.0,Excelente,Frente,,2.0,-34.58483,-58.39634,https://proxy.sosiva451.com/proxy/E8F54F8CC1578968E4C0C859443BC8E615B9431937B558B015EC31DEAD9C3274B97FF46F93D6D90F4C467E39DFB6948CBA6901EFC2CFA8FC72186E52822894FF524DDDBA7A0F019541599C32302A1B837CE71D3EA8EA57CB35C67CB091AFBD6D,images/18365811.jpg,2.0,POINT (-6500650.832990873 -4107603.3571875584),27.0,Recoleta,2.0,25,5,15.462468700087294,-0.17291698527499477
4347,18746246.0,2026-02-09 13:20:59.253690,,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--18746246,3707975.0,USD,1000000.0,,100.0,9.0,109.0,49.61290322580645,,3.0,2.0,Muy Bueno,Frente,,1.0,-34.590942,-58.38694,https://proxy.sosiva451.com/proxy/9E1F23CA62FD3EBEA2E6D8C13DCE4B2D082CF6A57A73AEA2B1250851895D5B607E402B8E8E283C2B1119DE97DE1B8202691DBEE2F1BF4A28743B283122403C0AB57929178BBB66421B632B8D22365D3CC0B120E57EDF25044054B49CD841CF45EFD07AB88108C54DDD9AD43600581CBF4EC691229B81BB19A20CCEE4B107DAA4C9CF15B94D2AECE42FCCA8D21975BC6603724312A119A5D280C438E9D618B40C,images/18746246.jpg,2.0,POINT (-6499604.429777417 -4108429.812616297),28.0,Retiro,1.0,50,4,15.125996463466082,-0.1658414709167868
4462,18996602.0,2026-02-09 13:21:00.404416,,https://www.argenprop.com/departamento-en-alquiler-en-caballito-1-ambiente--18996602,650000.0,ARS,0.0,Departamento,36.0,4.0,40.0,32.78313253012048,,1.0,1.0,Excelente,Contrafrente,,0.0,-34.61869,-58.43076,https://www.argenprop.com/static-content/20669981/eb3421ca-557e-4f83-818c-fa9f17e0abd8_u_small.jpg,images/18996602.jpg,,POINT (-6504482.449863979 -4112182.6202196064),7.0,Caballito,6.0,33,5,13.38472764187182,-0.15856278425710535
4467,12552945.0,2026-02-09 13:21:00.420220,,https://www.argenprop.com/departamento-en-alquiler-en-caballito-1-ambiente--12552945,650000.0,ARS,0.0,Departamento,36.0,4.0,40.0,32.78313253012048,,1.0,1.0,Excelente,Contrafrente,,0.0,-34.61869,-58.43076,https://www.argenprop.com/static-content/54925521/36fe9998-0cc0-4233-ba96-11d54eae2d1c_u_small.jpg,images/12552945.jpg,,POINT (-6504482.449863979 -4112182.6202196064),7.0,Caballito,6.0,33,5,13.38472764187182,-0.15856278425710535
2336,17829777.0,2026-02-05 01:14:46.534348,,https://www.argenprop.com/departamento-en-alquiler-en-balvanera-2-ambientes--17829777,1186552.0,USD,173000.0,,59.0,3.0,62.0,39.94915254237288,,2.0,1.0,Excelente,Frente,N,0.0,-34.601913,-58.41207,https://www.argenprop.com/static-content/77792871/359f8816-4e7d-4b43-87b9-3ad981de961b_u_small.jpg,images/17829777.jpg,,POINT (-6502401.888581051 -4109913.4472319353),2.0,Balvanera,3.0,40,5,13.986562180277717,-0.14510127892432045
4377,18881979.0,2026-02-09 13:20:59.545648,,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--18881979,800000.0,ARS,319000.0,,42.0,0.0,42.0,10.0,,2.0,1.0,Excelente,Lateral,NE,0.0,-34.568256,-58.446297,https://proxy.sosiva451.com/proxy/358822AE028DCE672A7754082687BE5284DF24E778CE8C1CF08270ED0349E919F394682C2A620EE1D91C69A647BC5DA79BF9236C2D8FFE6B1779250B4FFA5D725AB6FE4515558F40485B954C57BB5E1135DECE0A9BB51267348D42252F384E9D7C692B50073566A8CA88F4357350BB542D58DFFD06CCB931F2C9507C718AAEEABF49CCD5CDC53DEF4704BEB5443A2E19E3CC24E4727A3315D0178296FB681205,images/18881979.jpg,1.0,POINT (-6506212.020792433 -4105362.551722156),20.0,Palermo,14.0,10,5,13.592367006650065,-0.1445182940622658
1709,18519428.0,2026-02-04 22:46:01.419525,,https://www.argenprop.com/departamento-en-alquiler-en-boca-1-ambiente--18519428,400000.0,ARS,110000.0,Departamento,30.0,0.0,30.0,10.0,,1.0,1.0,Muy Bueno,Contrafrente,,0.0,-34.62908,-58.36725,https://proxy.sosiva451.com/proxy/35432110E0F4A2BC52ED93FE48A151B1F421E2F9A370710F55FD6757FA080DB090EEECDC7B810CC9F7DB3E8B58A687E6DA5815F5BADB2D6AAFE7363FCD964BDAD1928E0D9F3462BC81AF46C3788D2ACB56609C03972A04FF2DDB11CD159333BB,images/18519428.jpg,,POINT (-6497412.549003697 -4113588.149572233),5.0,La Boca,4.0,10,4,12.89921982609012,-0.13752286547832426
1702,18618744.0,2026-02-04 22:46:01.387710,,https://www.argenprop.com/departamento-en-alquiler-en-barracas-1-ambiente--18618744,400000.0,ARS,110000.0,Departamento,30.0,0.0,30.0,10.0,,1.0,1.0,Muy Bueno,Contrafrente,,0.0,-34.62908,-58.36725,https://proxy.sosiva451.com/proxy/B72FBF7258CD988D3DEFA4D59B0C4C3CE6A0ECBD35EBB0BDB26C17D2BB7DB78E1649321850224F9F3FC40742ACADE3D890436C56ABE3EAD3FA1C53ABD075768AAA8ED48208821928CBB753E40CBAFF2B575149D3A788BD0703957159AAD5FE81,images/18618744.jpg,,POINT (-6497412.549003697 -4113588.149572233),5.0,La Boca,4.0,10,4,12.89921982609012,-0.13752286547832426
3690,18969207.0,2026-02-05 01:14:52.049316,,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-4-ambientes--18969207,1580000.0,ARS,360000.0,Departamento,130.0,10.0,140.0,40.0,,4.0,3.0,Excelente,Frente,,0.0,-34.59515,-58.39891,https://www.argenprop.com/static-content/70296981/1ad78196-c4fe-4472-9fb9-a0013f346a7e_u_small.jpg,images/18969207.jpg,,POINT (-6500936.924082211 -4108998.847373279),27.0,Recoleta,2.0,40,5,14.27293540500315,-0.13033641747474256
3691,18969220.0,2026-02-05 01:14:52.065535,,https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--18969220,1580000.0,ARS,360000.0,Departamento,130.0,10.0,140.0,40.0,,4.0,3.0,Excelente,Frente,,0.0,-34.59515,-58.39891,https://www.argenprop.com/static-content/02296981/4a157def-84d2-45a6-804a-ae107745cc16_u_small.jpg,images/18969220.jpg,,POINT (-6500936.924082211 -4108998.847373279),27.0,Recoleta,2.0,40,5,14.27293540500315,-0.13033641747474256
