id,url,precio,expensas,area_m2,dormitorios,antiguedad,puntaje_arg_prop,imagen_path,image_url,lat,lon,valido_desde,valido_hasta,index_right,barrio,comuna,ambientes,moneda,tipo_inmueble_departamento,tipo_inmueble_ph
18875522,https://www.argenprop.com/departamento-en-venta-en-villa-pueyrredon-2-ambientes--18875522,57000.0,50000.0,35.0,1 dorm.,23.866666666666667,300.0,,/content/images/listing-camera.svg,-4107038.178887175,-6512034.364119393,2026-01-17 20:55:06.476364,,42.0,Villa Pueyrredon,12.0,2,usd,True,False
18699539,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--18699539,81000.0,97000.0,36.0,1 dorm.,41.0,3.0,images/18699539.jpg,https://www.argenprop.com/static-content/93599681/5ec3cd57-1357-4155-be74-0621c0182d14_u_small.jpg,-4102425.8719895147,-6509422.808865384,2026-01-17 23:35:30.442235,2026-01-21 19:06:37.542222,29.0,Saavedra,12.0,2,usd,True,False
18875803,https://www.argenprop.com/departamento-en-venta-en-recoleta-4-ambientes--18875803,280000.0,0.0,129.0,3 dorm.,46.0,0.0,images/18875803.jpg,https://proxy.sosiva451.com/proxy/35CD0CBF39E77F3BE5F736EFC3CF31AA338DDA0562BAFA002321B6166F5E39C42EB314694A32378E3CAB1332BA3CD5BA3227147723CDFF12615FB5E7EC17FB9A5B05870329D61074012F097404EFEB6009323989851D3AFE7DADF92A1566BE8BFAA24367D2A963C3ECB74A4C1677577A5C476EB580F5EEDD1B2FAB7FED6281B3B8C008A3FE541368C067E03BDDD3588DFB261002E84D62C98A3349D19E56B8E9,-4108946.107673919,-6501118.374852206,2026-01-17 23:35:31.711969,,27.0,Recoleta,2.0,4,usd,True,False
18875798,https://www.argenprop.com/ph-en-venta-en-saavedra-4-ambientes--18875798,220000.0,0.0,135.32,3 dorm.,29.0,0.0,images/18875798.jpg,https://proxy.sosiva451.com/proxy/DC6F0762F6082A8DBD5C9BE8FD63795097FF39EBD4821611E38C2D4A4FB6237DA12CC14726588FA0037EB7ECBD7873E5111D62F5ADFFF9800ADE7D1572E0B4E9DEBEE1F10A194838A48301F1BFB9F462ACD446090AC03272A5757DCBC3210B20E02956C7BDDE41331BA0DE8FCEBBD2F5A9F8E12299574639EBD6051C52A5EFF2294E996F29EC63016319ACF6C61CE6A7766F7356FD1D8A547977AD6D158A7A02,-4103628.782548138,-6511030.262312437,2026-01-17 23:35:31.716326,,29.0,Saavedra,12.0,4,usd,False,True
8537298,https://www.argenprop.com/departamento-en-venta-en-microcentro-5-ambientes--8537298,225000.0,420000.0,152.0,4 dorm.,90.0,1.0,images/8537298.jpg,https://proxy.sosiva451.com/proxy/A7ADCC75EE5B7D15F4D288FC15E2105821299AB4C23344989BC55797E3FE84632ADAE1813B16770D230F8975D419B5FF753F18F7BA9D42E682B7AA3DB16B3D4A59D7F3837D2AC5BCCA8E5773EC7EE09811C84374EF054DEBC31DE5045ED75E7C,-4109729.1148155998,-6497845.581822882,2026-01-17 23:35:31.796416,,31.0,San Nicolas,1.0,5,usd,True,False
18875907,https://www.argenprop.com/departamento-en-venta-en-parque-chas-3-ambientes--18875907,194000.0,350000.0,63.0,2 dorm.,19.0,0.0,images/18875907.jpg,https://proxy.sosiva451.com/proxy/D69A8C1A63B1E1167621634ACE36D4B39B51D6DE2146C521817005AA1E34C0D68D40BF6F43FE25878C5D686F79425FEE621A1586D7919E4546AD9978EB702CD05DA900D7ED4983850DA1BA252E71F6A235E837CF3EEFA4FD2D20D2DF5309525005492CB38018424B3FF71D964F976E2E9CA1FAFC23E5432F265F0CD179ACA18135AB053C52F0E0BB349B26B6B2AFB9969BF495481D821E2BCCC7E304DC8396FE,-4107921.113452666,-6510179.781402777,2026-01-17 23:35:31.940104,,23.0,Parque Chas,15.0,3,usd,True,False
18875967,https://www.argenprop.com/departamento-en-venta-en-palermo-hollywood-3-ambientes--18875967,270000.0,0.0,78.0,2 dorm.,20.0,0.0,images/18875967.jpg,https://proxy.sosiva451.com/proxy/25A8649951F61B6C0467EE2E57406D9C6F22A43E0CE07C8838FB45DBD75A38A4915D3DE0D138AC11323B7F003142FAE212869BAA109E6411F2858426C4CAB04AF863081B4544597B28B3AD8EFD4AE4424655569ECAB906E2A2671AE9DCA38CE5A99A8DC828BB03CBC5A48B349090C469367A68DB69FD2F7B348A88F5F048B66957DF228CA4801970E98AF9C26DC74E03D4413B08D83F8098EF7E4DEB6688473B,-4106523.053091803,-6505239.422401371,2026-01-17 23:35:32.226129,,20.0,Palermo,14.0,3,usd,True,False
18875959,https://www.argenprop.com/ph-en-venta-en-parque-chas-3-ambientes--18875959,135000.0,65000.0,49.5,2 dorm.,32.0,0.0,images/18875959.jpg,https://proxy.sosiva451.com/proxy/77FF0539A0D39CEC7E18074A82904CB8F67D5FCA585448052EFCB3AA99454CBBBCA55BC323A14C5E5ED7768BB4447C3D96E03A3180F16048473F90D9AF371C90B1C0F9F34C37350692FC8466CB6EB2B4F30E654BF37E90D643BA6699B01DD035F0D73BB3CE0250473A3EE378B7B07A50CA412A40107B1ECC4E1F6A79D7C187C6CF0D8B38D99477D6307A1EDE27329911BA70D431FC07E18740C1390F6375EF59,-4107665.555578938,-6509804.634718804,2026-01-17 23:35:32.273749,,23.0,Parque Chas,15.0,3,usd,False,True
18876117,https://www.argenprop.com/departamento-en-venta-en-colegiales-4-ambientes--18876117,475000.0,0.0,129.0,3 dorm.,85.54545454545455,0.0,images/18876117.jpg,https://proxy.sosiva451.com/proxy/57CCA40E0776D9C004CA665C22376CCC45BE99BD4177C27A6A565E3FB3055E49914D04F7EC602B49C07AA06291A8E2EFDE3102CE6EC23A46ACDED1618016DB4903A89EF731082EF28DE4E0383B4D40F220ADBA008C3EA3FFA40C73CE0347302AF4F18F015D6B448DC2A1FC2ADD76D179A88CE87695864016B5AD52E942BB4F4879836C0E00A7B79EEDBFFC602DE6304751F8798CD37BC99E2357CFAC6FEA0B25,-4105810.568922879,-6507347.813556997,2026-01-17 23:35:32.735259,,10.0,Colegiales,13.0,4,usd,True,False
18876071,https://www.argenprop.com/departamento-en-venta-en-palermo-hollywood-3-ambientes--18876071,155000.0,150000.0,67.0,2 dorm.,65.0,0.0,images/18876071.jpg,https://proxy.sosiva451.com/proxy/97918A91914F1C1C30B8B941E7B0A62DD728176DD5811CA7186538E1793E4145BB623A2657DB7C1A60C47A46B9FF15BE30485D64B28E9B9C2F97BF578C163468BA88370BFF5F693901D39938C1CA4C4CF9EAC24F3742590B619F917A7447E41C2117AF888E1B22540CF77E94B2A0A4F20901FA7EB69D1CA928FBEFC400132D28188C2560B678C716675A0597D3B702EC0C385558440B012721319ED96DB43BA7,-4106858.3553888714,-6504312.1310430635,2026-01-17 23:35:35.819035,,20.0,Palermo,14.0,3,usd,True,False
