idx,id,url,precio,moneda,expensas,tipo_unidad,area_m2_cubierta,area_m2_descubierta,area_m2_total,antiguedad,estado_edificio,ambientes,banos,estado,disposicion,orientacion,latitud,longitud,image_url,imagen_path,valido_desde,valido_hasta,cocheras,dormitorios,geometry,index_right,barrio,comuna,antiguedad_cat,estado_num,log_precio
4277,18549298.0,https://www.argenprop.com/departamento-en-venta-en-palermo-soho-1-ambiente--18549298,115000.0,USD,0.0,,27.0,13.0,40.0,37.310344827586206,,1.0,1.0,Excelente,,,-34.583233,-58.42564,https://www.argenprop.com/static-content/89294581/0967af07-814a-4f43-9014-b777594fc47f_u_small.jpg,images/18549298.jpg,2026-02-05 15:20:17.266945,,0.0,,POINT (-6503912.494071117 -4107387.4232708127),20.0,Palermo,14.0,37,5,11.652687407345388
4278,18549295.0,https://www.argenprop.com/departamento-en-venta-en-palermo-soho-1-ambiente--18549295,99000.0,USD,0.0,,27.0,0.0,27.0,37.310344827586206,,1.0,1.0,Excelente,,,-34.583233,-58.42564,https://www.argenprop.com/static-content/59294581/88f7d493-9f8a-418a-9d62-9a6c738bca40_u_small.jpg,images/18549295.jpg,2026-02-05 15:20:21.438600,,0.0,,POINT (-6503912.494071117 -4107387.4232708127),20.0,Palermo,14.0,37,5,11.502875129116727
4333,16676893.0,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-1-ambiente--16676893,144772.0,USD,0.0,Departamento,37.0,6.0,43.0,24.96551724137931,,1.0,1.0,Excelente,Frente,,-34.57273,-58.47506,https://proxy.sosiva451.com/proxy/EDCDD1F84272D23453E60A2E097A8AE1C08EF61C1488684D0F56670BA9A86A10C37FB0DD98A2C0CD0BA7DFE5D969350C3832829D689AEB6ED3369316F4B81527FA1AA904AD53EB75DC0E859ABE3BA93EE570049488EB98A22BCD66DDF9F59748,images/16676893.jpg,2026-02-05 15:26:04.729223,,0.0,,POINT (-6509413.903306119 -4105967.3926812834),47.0,Villa Urquiza,12.0,25,5,11.882915370069586
4344,18420096.0,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-2-ambientes--18420096,195720.0,USD,0.0,Departamento,42.0,14.0,56.0,24.96551724137931,,2.0,1.0,Excelente,Frente,,-34.57273,-58.47506,https://proxy.sosiva451.com/proxy/098F93E67F3D26449B5EA21ADB0F93F4EF8B2760B5AE1D25B9DA6B4F9DF2B69071FAD399E6E738C9B5B1E0E5A25F1AC65BC235849B4406FF8A095819AF85180EB6C54DC6C0F523D2A08863C090F9402CB05F460A9A5A98A51BFC24548B280D55,images/18420096.jpg,2026-02-05 15:26:54.002523,,0.0,,POINT (-6509413.903306119 -4105967.3926812834),47.0,Villa Urquiza,12.0,25,5,12.18444034540306
4347,9073852.0,https://www.argenprop.com/departamento-en-venta-en-caballito-3-ambientes--9073852,198500.0,USD,0.0,Departamento,76.0,0.0,85.0,40.77049180327869,,3.0,2.0,Excelente,Frente,E,-34.62278,-58.45576,https://proxy.sosiva451.com/proxy/F29A7B155AD8E4B0427DB624B6661C1CA5F1456CA85A528EA44B9150D2505DA29085F64BD3EB5FB90133E76D00A6EC7FB9569845C87846E68F2F7529F0CE6BD30BCC71E7EC5EBFF3FB22F3A30129C148E152C7E0271859655609BFFF10D7E4CE,images/9073852.jpg,2026-02-05 15:27:06.987674,,0.0,,POINT (-6507265.43713381 -4112735.8826677045),12.0,Flores,7.0,41,5,12.198544379109382
4349,17561458.0,https://www.argenprop.com/departamento-en-venta-en-colegiales-3-ambientes--17561458,258960.0,USD,0.0,Departamento,65.0,14.0,79.0,37.310344827586206,,3.0,2.0,Excelente,Frente,N,-34.57324,-58.44168,https://proxy.sosiva451.com/proxy/49B17C2BDD53C9C83C050DCA8FEFF81238CEE8ED5D236A94E7EB35BBB3202BE8DBD41DE197BDD39FDC1290B9AD997151E5BD2664E31AFB16899FC7BDC7C9495055DC1D4619B094979417E6D3B71CE9FC8BAA7300C61E36A810E86F5C379F8F73,images/17561458.jpg,2026-02-05 15:27:15.266090,,0.0,,POINT (-6505698.05870344 -4106036.341750294),20.0,Palermo,14.0,37,5,12.464428888600127
4350,16263757.0,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-4-ambientes--16263757,605550.0,USD,0.0,Departamento,159.0,25.0,184.0,24.96551724137931,,4.0,4.0,Excelente,Frente,,-34.57818,-58.48527,https://proxy.sosiva451.com/proxy/CD3996DE6B59D3E06C8B431BCCD5034C8FFB8325AD5480D268CBFD2269ABD22B7355F74FAAA54A5748240BFFE98B4CEA7F98EF0368744FD6CBF9B8548697256D9866B66D1FFFEE8AF951185BB1D50E5517C7D65B6F666A990A4FA5A5513016B2,images/16263757.jpg,2026-02-05 15:27:19.304735,,0.0,,POINT (-6510550.475307119 -4106704.223251901),47.0,Villa Urquiza,12.0,25,5,13.313892414949196
4357,16430163.0,https://www.argenprop.com/departamento-en-venta-en-palermo-3-ambientes--16430163,573700.0,USD,0.0,Departamento,77.0,5.0,82.0,37.310344827586206,,3.0,3.0,Excelente,Contrafrente,,-34.57861,-58.41397,https://proxy.sosiva451.com/proxy/D3E4257F6379742AAAD472C0B4FDCEF4469ABAF2D60324E2C6D3CB2EB4122D6D8ECBF738A7FA425D8F5BE261A65B464458299ED34E7A09D53FD815190136BBF9954C1912E976A96FCBCBD4D3A8B7593E41207E37FCD5EE55DA99022F4207690A,images/16430163.jpg,2026-02-05 15:27:49.439608,,0.0,,POINT (-6502613.395613559 -4106762.3605640377),20.0,Palermo,14.0,37,5,13.259861890589962
4440,16269746.0,https://www.argenprop.com/departamento-en-venta-en-palermo-2-ambientes--16269746,204106.0,USD,145620.0,Departamento,41.0,11.0,51.0,37.310344827586206,,2.0,2.0,Excelente,Frente,,-34.5882,-58.4194,https://www.argenprop.com/static-content/64796261/19250ad5-d59b-447e-ab55-3fcad9cb0553_u_small.jpg,images/16269746.jpg,2026-02-05 15:37:23.872955,,0.0,,POINT (-6503217.860448565 -4108059.03598999),20.0,Palermo,14.0,37,5,12.22639474572008
4513,18827380.0,https://www.argenprop.com/departamento-en-venta-en-san-nicolas-1-ambiente--18827380,40000.0,USD,130000.0,,27.0,0.0,27.0,56.0,,1.0,1.0,Bueno,,,-34.60085,-58.37807,https://www.argenprop.com/static-content/08372881/3e493680-9b19-49ad-a421-fa058ea09810_u_small.jpg,images/18827380.jpg,2026-02-05 15:44:20.103305,,0.0,,POINT (-6498617.025894079 -4109769.686621178),31.0,San Nicolas,1.0,56,3,10.596634733096073
