idx,id,url,precio,moneda,expensas,tipo_unidad,area_m2_cubierta,area_m2_descubierta,area_m2_total,antiguedad,estado_edificio,ambientes,banos,estado,disposicion,orientacion,latitud,longitud,image_url,imagen_path,valido_desde,valido_hasta,cocheras,dormitorios,geometry,index_right,barrio,comuna,antiguedad_cat,estado_num,log_precio
4262,18875458.0,https://www.argenprop.com/departamento-en-venta-en-villa-del-parque-4-ambientes--18875458,284000.0,USD,0.0,Duplex,123.0,49.54,196.0,2.0,,4.0,2.0,Excelente,Frente,,-34.61034,-58.49715,https://www.argenprop.com/static-content/85457881/20f6dab6-a5ac-4c3b-b10c-f7d2bc5689d3_u_small.jpg,images/18875458.jpg,2026-02-05 15:19:02.071369,,0.0,,POINT (-6511872.950857744 -4111053.1837257915),36.0,Villa Del Parque,11.0,2,5,12.556729517143344
4277,18549298.0,https://www.argenprop.com/departamento-en-venta-en-palermo-soho-1-ambiente--18549298,115000.0,USD,0.0,,27.0,13.0,40.0,38.074074074074076,,1.0,1.0,Excelente,,,-34.583233,-58.42564,https://www.argenprop.com/static-content/89294581/0967af07-814a-4f43-9014-b777594fc47f_u_small.jpg,images/18549298.jpg,2026-02-05 15:20:17.266945,,0.0,,POINT (-6503912.494071117 -4107387.4232708127),20.0,Palermo,14.0,38,5,11.652687407345388
4278,18549295.0,https://www.argenprop.com/departamento-en-venta-en-palermo-soho-1-ambiente--18549295,99000.0,USD,0.0,,27.0,0.0,27.0,38.074074074074076,,1.0,1.0,Excelente,,,-34.583233,-58.42564,https://www.argenprop.com/static-content/59294581/88f7d493-9f8a-418a-9d62-9a6c738bca40_u_small.jpg,images/18549295.jpg,2026-02-05 15:20:21.438600,,0.0,,POINT (-6503912.494071117 -4107387.4232708127),20.0,Palermo,14.0,38,5,11.502875129116727
4286,18874914.0,https://www.argenprop.com/departamento-en-venta-en-puerto-madero-2-ambientes--18874914,550000.0,USD,510000.0,,65.0,0.0,65.0,19.5,,2.0,1.0,Excelente,Frente,,-34.617718,-58.362057,https://www.argenprop.com/static-content/41947881/de68fbcb-139e-4d54-9afa-9089278ea1fc_u_small.jpg,images/18874914.jpg,2026-02-05 15:20:59.518934,,1.0,,POINT (-6496834.466888007 -4112051.139852921),26.0,Puerto Madero,1.0,20,5,13.217673557208654
4287,18874940.0,https://www.argenprop.com/departamento-en-venta-en-puerto-madero-2-ambientes--18874940,500000.0,USD,510000.0,,60.0,0.0,60.0,19.5,,2.0,1.0,Excelente,Frente,,-34.617718,-58.362057,https://www.argenprop.com/static-content/04947881/d97e39ac-f8c9-46d3-8255-b6c8ebb1d3d5_u_small.jpg,images/18874940.jpg,2026-02-05 15:21:04.091809,,1.0,,POINT (-6496834.466888007 -4112051.139852921),26.0,Puerto Madero,1.0,20,5,13.122363377404328
4304,18782489.0,https://www.argenprop.com/departamento-en-venta-en-palermo-2-ambientes--18782489,83000.0,USD,100800.0,,37.0,0.0,37.0,55.0,,2.0,1.0,Bueno,Lateral,,-34.593227,-58.43197,https://www.argenprop.com/static-content/98428781/b4eb5686-e7af-4445-8e2a-66b83b4924e4_u_small.jpg,images/18782489.jpg,2026-02-05 15:22:33.851756,,0.0,,POINT (-6504617.146447836 -4108738.802485846),35.0,Villa Crespo,15.0,55,3,11.326595886778735
4305,18782478.0,https://www.argenprop.com/departamento-en-venta-en-palermo-2-ambientes--18782478,83000.0,USD,100800.0,,37.0,0.0,37.0,55.0,,2.0,1.0,Bueno,Lateral,,-34.593227,-58.43197,https://www.argenprop.com/static-content/87428781/72a0a2b8-d5a5-4e60-873b-9cf98de71165_u_small.jpg,images/18782478.jpg,2026-02-05 15:22:37.817925,,0.0,,POINT (-6504617.146447836 -4108738.802485846),35.0,Villa Crespo,15.0,55,3,11.326595886778735
4328,17867641.0,https://www.argenprop.com/departamento-en-venta-en-palermo-2-ambientes--17867641,183400.0,USD,0.0,Departamento,49.0,7.0,56.0,38.074074074074076,,2.0,2.0,Excelente,Contrafrente,E,-34.58196,-58.44258,https://proxy.sosiva451.com/proxy/8CC612A1225A762381593B2F7106695FC1D9D54851F445D898716FD3F00F92F6FECB180BF258661344F9C1794358DFBD96587141B6995E6EDDD85A4A33D39F0BE32299676DAE1B873D659B766109BE0DD0B36B51EF497D07C012D5D8632D1285,images/17867641.jpg,2026-02-05 15:25:41.198012,,0.0,,POINT (-6505798.246245154 -4107215.301085686),20.0,Palermo,14.0,38,5,12.119424838804502
4336,16430144.0,https://www.argenprop.com/departamento-en-venta-en-palermo-soho-4-ambientes--16430144,470000.0,USD,664999.0,Departamento,121.0,10.0,131.0,38.074074074074076,,4.0,3.0,Excelente,Contrafrente,,-34.58874,-58.43002,https://proxy.sosiva451.com/proxy/8FF7F69001FB40FE4C37F323EBF79C832DFDD387D6933FE2DA6BC291382C54F334F6EE3DB373341221E1884C3E8CFCA8C6EEB682A321FBC150ECA8F475D646267AE9DECEB1C20CFB5DFDDE1A70A80210D06BEB5A7793E6748236F243D6424832,images/16430144.jpg,2026-02-05 15:26:18.369962,,0.0,,POINT (-6504400.07344079 -4108132.0544893006),20.0,Palermo,14.0,38,5,13.060487973686241
4339,16263802.0,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-4-ambientes--16263802,663600.0,USD,0.0,Departamento,145.0,21.0,166.0,21.88235294117647,,4.0,4.0,Excelente,Frente,N,-34.57818,-58.48527,https://proxy.sosiva451.com/proxy/519C9D46AC0FAB4B50795B4ABA36707B5A23AD60E8135CB88B562C0B5A617BA4596DFB868A3A06CDC5A637B58D1D9D08151381B1135E7FF737F758B756801AB475AF26252F0EB9CDB855A20B853AE0F0932A121515B92D8572305D9B95E07FBE,images/16263802.jpg,2026-02-05 15:26:31.969464,,0.0,,POINT (-6510550.475307119 -4106704.223251901),47.0,Villa Urquiza,12.0,22,5,13.405434837298426
