id,url,precio,expensas,area_m2,dormitorios,antiguedad,puntaje_arg_prop,imagen_path,image_url,lat,lon
18952856,https://www.argenprop.com/departamento-en-alquiler-en-caballito-3-ambientes--18952856,"('$', 1150000.0)",245000.0,67.0,2 dorm.,18.0,3,images/18952856.jpg,https://www.argenprop.com/static-content/65825981/966057da-deee-40ac-83d0-d8a5eb0593e2_u_small.jpg,-34.62345,-58.42908
18890267,https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-1-ambiente--18890267,"('$', 550000.0)",110000.0,32.0,,20.0,0,images/18890267.jpg,https://www.argenprop.com/static-content/76209881/822365f2-1d35-4cab-9112-ea6498998fa7_u_small.jpg,-34.576607,-58.484455
18952877,https://www.argenprop.com/departamento-en-alquiler-en-almagro-3-ambientes--18952877,"('usd', 1300000.0)",300000.0,62.0,2 dorm.,0.0,0,images/18952877.jpg,https://www.argenprop.com/static-content/77825981/c8b7ec96-84c7-471b-bac8-13030210420b_u_small.jpg,-34.606163,-58.429016
18664793,https://www.argenprop.com/departamento-en-alquiler-en-nunez-1-ambiente--18664793,"('$', 670000.0)",128000.0,40.0,,46.0,0,images/18664793.jpg,https://www.argenprop.com/static-content/39746681/039ea221-3b5d-409f-92f6-0a9ab9628824_u_small.jpg,-34.54028,-58.46379
18774793,https://www.argenprop.com/departamento-en-alquiler-en-villa-luro-1-ambiente--18774793,"('$', 550000.0)",90000.0,38.0,,5.0,0,images/18774793.jpg,https://www.argenprop.com/static-content/39747781/3fdd9246-25b4-4588-a6b5-ebfe0b0fd781_u_small.jpg,-34.63937,-58.49539
18952873,https://www.argenprop.com/departamento-en-alquiler-en-villa-del-parque-2-ambientes--18952873,"('$', 900000.0)",0.0,39.0,1 dorm.,2.0,1,images/18952873.jpg,https://www.argenprop.com/static-content/37825981/3a5cfe52-60e3-4b79-9387-bb1a34205cf3_u_small.jpg,-34.60658,-58.49114
18952871,https://www.argenprop.com/departamento-en-alquiler-en-almagro-1-ambiente--18952871,"('$', 600000.0)",125000.0,30.0,1 dorm.,,1,images/18952871.jpg,https://www.argenprop.com/static-content/17825981/3b22291c-e2ef-46eb-b976-4d25a440175d_u_small.jpg,-34.59777,-58.4188
18904736,https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--18904736,"('$', 730000.0)",240000.0,44.0,1 dorm.,15.0,0,images/18904736.jpg,https://www.argenprop.com/static-content/63740981/89c45e13-3b93-48ce-b2bc-2a6ee5044902_u_small.jpg,-34.59559,-58.42041
18938197,https://www.argenprop.com/departamento-en-alquiler-en-almagro--18938197,"('$', 520000.0)",147000.0,35.0,,,0,images/18938197.jpg,https://www.argenprop.com/static-content/79183981/b355dd16-1fe7-4219-86a0-6bb0a346e56c_u_small.jpg,-34.61166,-58.41412
18938237,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-3-ambientes--18938237,"('$', 780000.0)",279300.0,53.63,2 dorm.,,0,images/18938237.jpg,https://www.argenprop.com/static-content/73283981/5330c666-4fba-4c40-877d-a0d11ffd1633_u_small.jpg,-34.57308,-58.44147
