id,url,precio,expensas,area_m2,dormitorios,antiguedad,puntaje_arg_prop,imagen_path,image_url,lat,lon,valido_desde,valido_hasta
6688799,https://www.argenprop.com/departamento-en-alquiler-en-las-canitas--6688799,"('$', 430000.0)",70000.0,30.0,,0.0,6446.0,images/6688799.jpg,https://www.argenprop.com/static-content/9978866/93da9da1-0e06-4531-a0f8-3711dd7874dc_u_small.jpg,-34.56565,-58.44018,2026-01-27 19:05:20.636338,2026-02-01 19:09:59.362045
18688308,https://www.argenprop.com/departamento-en-alquiler-en-botanico-2-ambientes--18688308,"('$', 750000.0)",200000.0,36.0,1 dorm.,15.0,6238.0,images/18688308.jpg,https://www.argenprop.com/static-content/80388681/dc8a8956-e55a-4505-9ad5-cd549461e2e7_u_small.jpg,-34.58207,-58.41242,2026-01-27 19:05:20.636338,2026-02-01 19:10:04.156520
18762433,https://www.argenprop.com/departamento-en-alquiler-en-palermo-soho-2-ambientes--18762433,"('$', 1400000.0)",250000.0,63.0,1 dorm.,5.0,4919.0,images/18762433.jpg,https://www.argenprop.com/static-content/33426781/361ee0c0-e7c0-4b5c-98b5-54ef6ac60df4_u_small.jpg,-34.59364,-58.42518,2026-01-27 19:05:20.636338,2026-02-01 19:10:09.039909
17407957,https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-2-ambientes--17407957,"('$', 780000.0)",210000.0,37.0,1 dorm.,14.0,4919.0,images/17407957.jpg,https://www.argenprop.com/static-content/75970471/66ed1db1-aab0-4814-9a32-e7e14d9828a8_u_small.jpg,-34.57914,-58.43462,2026-01-27 19:05:20.636338,2026-02-01 19:10:14.086720
18583518,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--18583518,"('$', 850000.0)",270000.0,41.0,1 dorm.,56.0,4601.0,images/18583518.jpg,https://www.argenprop.com/static-content/81538581/ee66ab3d-aefb-4590-bea3-e52ddc89362f_u_small.jpg,-34.59462,-58.3872,2026-01-27 19:05:20.636338,2026-02-01 19:10:18.846140
18667280,https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-4-ambientes--18667280,"('usd', 1000.0)",250000.0,90.0,3 dorm.,50.0,4177.0,images/18667280.jpg,https://www.argenprop.com/static-content/08276681/dee40695-4fad-4ed2-8b39-22f0bf6a5ab7_u_small.jpg,-34.57731,-58.43354,2026-01-27 19:05:20.636338,2026-02-01 19:10:24.057671
16809345,https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-2-ambientes--16809345,"('usd', 900.0)",230000.0,50.0,1 dorm.,15.0,4029.0,images/16809345.jpg,https://www.argenprop.com/static-content/54390861/70f86df7-116f-4ed8-94ff-45f6f3287d80_u_small.jpg,-34.57911,-58.4389,2026-01-27 19:05:20.636338,2026-02-01 19:10:31.846167
16364867,https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--16364867,"('$', 1200000.0)",130000.0,52.0,1 dorm.,0.0,3970.0,images/16364867.jpg,https://www.argenprop.com/static-content/76846361/2c5ac256-3cff-46f3-a407-ecc1b68469bc_u_small.jpg,-34.58868,-58.41819,2026-01-27 19:05:20.636338,2026-02-01 19:10:41.419539
18185785,https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-3-ambientes--18185785,"('$', 850000.0)",259928.0,56.0,2 dorm.,55.0,3968.0,images/18185785.jpg,https://www.argenprop.com/static-content/58758181/a9365a90-a9b9-4fd2-9fab-7964b5444077_u_small.jpg,-34.571117,-58.43258,2026-01-27 19:05:20.636338,2026-02-01 19:10:47.580281
18709538,https://www.argenprop.com/departamento-en-alquiler-en-palermo-chico-2-ambientes--18709538,"('$', 950000.0)",360000.0,55.0,1 dorm.,8.0,3895.0,images/18709538.jpg,https://www.argenprop.com/static-content/83590781/7848fd2b-f41b-45e5-96d6-397569990e20_u_small.jpg,-34.58451,-58.41174,2026-01-27 19:05:20.636338,2026-01-21 16:31:57.777951
18703030,https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--18703030,"('usd', 600.0)",0.0,,1 dorm.,0.0,3766.0,images/18703030.jpg,https://www.argenprop.com/static-content/03030781/5524babe-4023-4313-8e36-52b361baa89d_u_small.jpg,-34.59321,-58.41526,2026-01-27 19:05:20.636338,2026-01-21 16:32:06.104443
18800435,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--18800435,"('$', 600000.0)",160000.0,40.0,1 dorm.,,3654.0,images/18800435.jpg,https://www.argenprop.com/static-content/53400881/d41246bc-0d5a-413c-9dcd-ce27ed42f08e_u_small.jpg,-34.57489,-58.44044,2026-01-27 19:05:20.636338,
18794325,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-c-1-ambiente--18794325,"('$', 680000.0)",198000.0,36.0,,0.0,3533.0,images/18794325.jpg,https://www.argenprop.com/static-content/52349781/fa0c6895-52f5-474f-b075-7588fa4a9f29_u_small.jpg,-34.57134,-58.448,2026-01-27 19:05:20.636338,
18795386,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-r-2-ambientes--18795386,"('$', 600000.0)",220000.0,35.0,1 dorm.,30.0,3533.0,images/18795386.jpg,https://www.argenprop.com/static-content/68359781/c1ff2540-f759-4a23-90b2-d14c3abf64b2_u_small.jpg,-34.56434,-58.4628,2026-01-27 19:05:20.636338,
17197189,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--17197189,"('$', 700000.0)",150000.0,28.0,,60.0,3440.0,images/17197189.jpg,https://www.argenprop.com/static-content/98179171/ecd0eec5-462c-400e-9cc4-7b4a527808bf_u_small.jpg,-34.58931,-58.39097,2026-01-27 19:05:20.636338,
17755705,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-c-3-ambientes--17755705,"('$', 1100000.0)",470000.0,85.0,3 dorm.,2.0,3416.0,images/17755705.jpg,https://www.argenprop.com/static-content/50755771/5f582ccb-465b-4201-95f8-31387486d5bb_u_small.jpg,-34.56306,-58.46014,2026-01-27 19:05:20.636338,2026-02-01 19:11:37.681281
18289181,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--18289181,"('$', 650000.0)",89810.0,34.0,1 dorm.,40.0,3331.0,images/18289181.jpg,https://www.argenprop.com/static-content/18198281/61e12f9b-613e-4048-ae21-bb975fbd4c98_u_small.jpg,-34.590897,-58.400833,2026-01-27 19:05:20.636338,2026-02-01 19:11:42.465074
18789220,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--18789220,"('$', 570000.0)",199000.0,35.0,,0.0,3326.0,images/18789220.jpg,https://www.argenprop.com/static-content/02298781/9aa083aa-0da7-4183-bd77-ff6c27afb0b4_u_small.jpg,-34.59323,-58.40841,2026-01-27 19:05:20.636338,2026-02-01 19:11:47.206637
17622482,https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-2-ambientes--17622482,"('usd', 550.0)",120000.0,45.0,1 dorm.,10.0,3325.0,images/17622482.jpg,https://www.argenprop.com/static-content/28422671/babb3c5c-c5c4-4806-a062-96e6975be9eb_u_small.jpg,-34.57482,-58.4827,2026-01-27 19:05:20.636338,2026-02-01 19:11:51.931709
18794491,https://www.argenprop.com/departamento-en-alquiler-en-urquiza-r-2-ambientes--18794491,"('$', 600000.0)",130000.0,,1 dorm.,0.0,3224.0,images/18794491.jpg,https://www.argenprop.com/static-content/19449781/255a920c-b87e-4c21-9fcb-a223f51c90a2_u_small.jpg,-34.57227,-58.48845,2026-01-27 19:05:20.636338,2026-02-01 19:11:56.671321
