idx,id,url,precio,moneda,expensas,tipo_unidad,area_m2_cubierta,area_m2_descubierta,area_m2_total,antiguedad,estado_edificio,ambientes,banos,estado,disposicion,orientacion,latitud,longitud,image_url,imagen_path,valido_desde,valido_hasta,cocheras,dormitorios
1,6688799,https://www.argenprop.com/departamento-en-alquiler-en-las-canitas--6688799,,,,,,,,,,,,,,,,,https://www.argenprop.com/static-content/9978866/93da9da1-0e06-4531-a0f8-3711dd7874dc_u_small.jpg,images/6688799.jpg,,2026-02-05 15:18:21.430579,,b''
2,18688308,https://www.argenprop.com/departamento-en-alquiler-en-botanico-2-ambientes--18688308,,,,,,,,,,,,,,,,,https://www.argenprop.com/static-content/80388681/dc8a8956-e55a-4505-9ad5-cd549461e2e7_u_small.jpg,images/18688308.jpg,,2026-02-05 15:18:22.581655,,b''
3,18762433,https://www.argenprop.com/departamento-en-alquiler-en-palermo-soho-2-ambientes--18762433,,,,,,,,,,,,,,,,,https://www.argenprop.com/static-content/33426781/361ee0c0-e7c0-4b5c-98b5-54ef6ac60df4_u_small.jpg,images/18762433.jpg,,2026-02-05 15:18:23.289967,,b''
4,17407957,https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-2-ambientes--17407957,,,,,,,,,,,,,,,,,https://www.argenprop.com/static-content/75970471/66ed1db1-aab0-4814-9a32-e7e14d9828a8_u_small.jpg,images/17407957.jpg,,2026-02-05 15:18:24.032878,,b''
5,18583518,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--18583518,,,,,,,,,,,,,,,,,https://www.argenprop.com/static-content/81538581/ee66ab3d-aefb-4590-bea3-e52ddc89362f_u_small.jpg,images/18583518.jpg,,2026-02-05 15:18:24.763356,,b''
6,18667280,https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-4-ambientes--18667280,,,,,,,,,,,,,,,,,https://www.argenprop.com/static-content/08276681/dee40695-4fad-4ed2-8b39-22f0bf6a5ab7_u_small.jpg,images/18667280.jpg,,2026-02-05 15:18:25.397006,,b''
7,16809345,https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-2-ambientes--16809345,,,,,,,,,,,,,,,,,https://www.argenprop.com/static-content/54390861/70f86df7-116f-4ed8-94ff-45f6f3287d80_u_small.jpg,images/16809345.jpg,,2026-02-05 15:18:26.015660,,b''
8,16364867,https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--16364867,,,,,,,,,,,,,,,,,https://www.argenprop.com/static-content/76846361/2c5ac256-3cff-46f3-a407-ecc1b68469bc_u_small.jpg,images/16364867.jpg,,2026-02-05 15:18:26.607901,,b''
9,18185785,https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-3-ambientes--18185785,,,,,,,,,,,,,,,,,https://www.argenprop.com/static-content/58758181/a9365a90-a9b9-4fd2-9fab-7964b5444077_u_small.jpg,images/18185785.jpg,,2026-02-05 15:18:27.257678,,b''
10,18709538,https://www.argenprop.com/departamento-en-alquiler-en-palermo-chico-2-ambientes--18709538,,ARS,350000,Duplex,55.0,5.0,60.0,8.0,,2,1,Excelente,Frente,,,,https://www.argenprop.com/static-content/83590781/7848fd2b-f41b-45e5-96d6-397569990e20_u_small.jpg,images/18709538.jpg,2026-02-04 22:02:08.461611,2026-02-05 15:18:33.269971,,b''
11,18703030,https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--18703030,,USD,,Departamento,,,,,,2,1,Excelente,Frente,E,,,https://www.argenprop.com/static-content/03030781/5524babe-4023-4313-8e36-52b361baa89d_u_small.jpg,images/18703030.jpg,2026-02-04 22:02:08.461611,2026-02-05 15:18:37.186080,,b''
12,18800435,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--18800435,,ARS,160000,Departamento,40.0,,40.0,,,2,1,Muy Bueno,Contrafrente,,,,https://www.argenprop.com/static-content/53400881/d41246bc-0d5a-413c-9dcd-ce27ed42f08e_u_small.jpg,images/18800435.jpg,2026-02-04 22:02:08.461611,2026-02-05 15:18:41.734883,,b''
