idx,id,url,precio,moneda,expensas,tipo_unidad,area_m2_cubierta,area_m2_descubierta,area_m2_total,antiguedad,estado_edificio,ambientes,banos,estado,disposicion,orientacion,latitud,longitud,image_url,imagen_path,valido_desde,valido_hasta,cocheras,dormitorios
1,17172615.0,https://www.argenprop.com/departamento-en-venta-en-palermo-5-ambientes--17172615,,USD,610000,,,,,35.0,,5,3,,Frente,NE,,,https://www.argenprop.com/static-content/51627171/63c74ca9-7201-4771-a31a-376001457c4c_u_small.jpg,images/17172615.jpg,2026-02-04 12:35:16.181267,2026-02-05 15:12:11.415817,,b''
2,17821648.0,https://www.argenprop.com/departamento-en-venta-en-belgrano-3-ambientes--17821648,,ARS,305000,,79.0,,79.0,12.0,,3,,,Frente,,,,https://www.argenprop.com/static-content/84612871/d6ea9721-96aa-422d-a686-f8b41f8ed463_u_small.jpg,images/17821648.jpg,,2026-02-05 15:12:15.847240,,b''
3,18875423.0,https://www.argenprop.com/departamento-en-venta-en-villa-crespo-2-ambientes--18875423,,USD,113400,,34.0,,34.0,51.0,,2,1,Muy Bueno,Lateral,,,,https://www.argenprop.com/static-content/32457881/bd4098a7-a158-49e6-b529-a225c133b2b1_u_small.jpg,images/18875423.jpg,2026-02-04 12:35:16.181267,2026-02-05 15:12:20.615890,,b''
4,18875422.0,https://www.argenprop.com/departamento-en-venta-en-villa-del-parque-3-ambientes--18875422,,,,,,,,,,,,,,,,,https://www.argenprop.com/static-content/22457881/21dcd557-7314-48c3-8110-ae96ed94be09_u_small.jpg,images/18875422.jpg,,2026-02-05 15:12:21.302103,,b''
5,18247052.0,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-1-ambiente--18247052,,,,,,,,,,,,,,,,,https://www.argenprop.com/static-content/25074281/146362a4-1192-483e-af8e-279ba2a6cb0e_u_small.jpg,images/18247052.jpg,,2026-02-05 15:12:21.937281,,b''
6,16013528.0,https://www.argenprop.com/ph-en-venta-en-floresta-4-ambientes--16013528,,USD,,,105.0,85.0,190.0,55.0,,4,,Regular,,,,,https://www.argenprop.com/static-content/82531061/060dde80-60e0-46f7-9db5-90401a365e2f_u_small.jpg,images/16013528.jpg,2026-02-04 12:35:16.181267,2026-02-05 15:12:26.681508,,b''
7,17626059.0,https://www.argenprop.com/departamento-en-venta-en-palermo-4-ambientes--17626059,,USD,,,196.0,15.0,211.0,,,4,3,,Lateral,E,,,https://www.argenprop.com/static-content/95062671/53aefce1-0cf4-4982-a6f5-d2a66600eb58_u_small.jpg,images/17626059.jpg,2026-02-04 12:35:16.181267,2026-02-05 15:12:30.900713,,b''
8,18875459.0,https://www.argenprop.com/departamento-en-venta-en-nunez-3-ambientes--18875459,,USD,180000,,47.0,,47.0,46.0,,3,1,,Contrafrente,NE,,,https://www.argenprop.com/static-content/95457881/fe6ffd66-7b07-4d28-9c16-a1cbdb6453f8_u_small.jpg,images/18875459.jpg,2026-02-04 12:35:16.181267,2026-02-05 15:12:37.193680,,b''
9,18853404.0,https://www.argenprop.com/casa-en-venta-en-palermo-soho--18853404,,USD,,Casa,200.0,,200.0,,,,2,,,,,,https://www.argenprop.com/static-content/40435881/9a888c6e-3306-4c7b-af3e-c9b6caf38547_u_small.jpg,images/18853404.jpg,2026-02-04 12:35:16.181267,2026-02-05 15:12:42.127105,,b''
10,18875458.0,https://www.argenprop.com/departamento-en-venta-en-villa-del-parque-4-ambientes--18875458,,USD,,Duplex,123.0,49.0,196.0,2.0,,4,2,Excelente,Frente,,,,https://www.argenprop.com/static-content/85457881/20f6dab6-a5ac-4c3b-b10c-f7d2bc5689d3_u_small.jpg,images/18875458.jpg,2026-02-04 12:35:16.181267,2026-02-05 15:12:46.950278,,b''
11,18537921.0,https://www.argenprop.com/departamento-en-venta-en-belgrano-c-2-ambientes--18537921,,USD,,,49.0,,56.0,16.0,,2,1,,,,,,https://www.argenprop.com/static-content/12973581/7e82e2c1-cf69-4970-8cd0-5239e25cb45c_u_small.jpg,images/18537921.jpg,2026-02-04 12:35:16.181267,2026-02-05 15:12:51.281040,,b''
12,18875283.0,https://www.argenprop.com/departamento-en-venta-en-palermo-3-ambientes--18875283,,USD,,,69.0,4.0,73.0,16.0,,3,2,,Frente,SO,,,https://www.argenprop.com/static-content/38257881/7c7b923b-41fe-40a3-aad8-2d050b653e99_u_small.jpg,images/18875283.jpg,2026-02-04 12:35:16.181267,2026-02-05 15:12:55.721104,,b''
13,18172428.0,https://www.argenprop.com/departamento-en-venta-en-caballito-4-ambientes--18172428,,USD,230000,,84.0,,84.0,44.0,,4,1,Bueno,,,,,https://www.argenprop.com/static-content/82427181/804ba2b4-df2a-4a4e-a3c1-189d6611ee1f_u_small.jpg,images/18172428.jpg,2026-02-04 12:35:16.181267,2026-02-05 15:13:00.909303,,b''
14,18421146.0,https://www.argenprop.com/departamento-en-venta-en-recoleta-1-ambiente--18421146,,,,,,,,,,,,,,,,,https://www.argenprop.com/static-content/64112481/d9db12db-0242-44ab-a0fb-c26cc34d9c0e_u_small.jpg,images/18421146.jpg,,2026-02-05 15:13:01.492740,,b''
15,17172615.0,https://www.argenprop.com/departamento-en-venta-en-palermo-5-ambientes--17172615,1190000,USD,610000,,,,,35,,5,3,,Frente,NE,-34.58601,-58.40774,https://www.argenprop.com/static-content/51627171/63c74ca9-7201-4771-a31a-376001457c4c_u_small.jpg,images/17172615.jpg,2026-02-05 15:12:11.415817,,2,
16,17821648.0,https://www.argenprop.com/departamento-en-venta-en-belgrano-3-ambientes--17821648,,ARS,305000,,79.0,,79.0,12,,3,,,Frente,,-34.559948,-58.455765,https://www.argenprop.com/static-content/84612871/d6ea9721-96aa-422d-a686-f8b41f8ed463_u_small.jpg,images/17821648.jpg,2026-02-05 15:12:15.847240,,,
17,18875423.0,https://www.argenprop.com/departamento-en-venta-en-villa-crespo-2-ambientes--18875423,70000,USD,113400,,34.0,,34.0,51,,2,1,Muy Bueno,Lateral,,-34.59357,-58.44511,https://www.argenprop.com/static-content/32457881/bd4098a7-a158-49e6-b529-a225c133b2b1_u_small.jpg,images/18875423.jpg,2026-02-05 15:12:20.615890,,,
18,16013528.0,https://www.argenprop.com/ph-en-venta-en-floresta-4-ambientes--16013528,160000,USD,,,105.0,85.0,190.0,55,,4,,Regular,,,-34.63423,-58.48689,https://www.argenprop.com/static-content/82531061/060dde80-60e0-46f7-9db5-90401a365e2f_u_small.jpg,images/16013528.jpg,2026-02-05 15:12:26.681508,,,
19,17626059.0,https://www.argenprop.com/departamento-en-venta-en-palermo-4-ambientes--17626059,1450000,USD,,,196.0,15.0,211.0,,,4,3,,Lateral,E,-34.582844,-58.428406,https://www.argenprop.com/static-content/95062671/53aefce1-0cf4-4982-a6f5-d2a66600eb58_u_small.jpg,images/17626059.jpg,2026-02-05 15:12:30.900713,,3,
20,18875459.0,https://www.argenprop.com/departamento-en-venta-en-nunez-3-ambientes--18875459,130000,USD,180000,,47.0,,47.0,46,,3,1,,Contrafrente,NE,-34.544342,-58.464504,https://www.argenprop.com/static-content/95457881/fe6ffd66-7b07-4d28-9c16-a1cbdb6453f8_u_small.jpg,images/18875459.jpg,2026-02-05 15:12:37.193680,,,
21,18853404.0,https://www.argenprop.com/casa-en-venta-en-palermo-soho--18853404,135000,USD,,Casa,200.0,,200.0,,,,2,,,,-34.59,-58.434,https://www.argenprop.com/static-content/40435881/9a888c6e-3306-4c7b-af3e-c9b6caf38547_u_small.jpg,images/18853404.jpg,2026-02-05 15:12:42.127105,,,
