id,url,precio,expensas,area_m2,dormitorios,antiguedad,tipo_inmueble,puntaje_arg_prop,imagen_path,image_url,lat,lon
18548651,https://www.argenprop.com/departamento-en-venta-en-villa-santa-rita-3-ambientes--18548651,"('usd', 125000.0)",0.0,58.0,2 dorm.,0.0,departamento,5,images/18548651.jpg,https://proxy.sosiva451.com/proxy/A9E378906ED27B28120024031E8B024D8B16FCCD647AD4ED87C1FD8BEC8AC3193056F73FF1EA0DA60C130901F3538CDC98288C7221A0622049B872784C6E434BC856F4412D0F3D7D4BDDCE4D99DF9EFB8EA351E9F19E65A5C6BA687BF66D2CB4,-34.61046,-58.48024
18267748,https://www.argenprop.com/ph-en-venta-en-liniers-3-ambientes--18267748,"('usd', 120000.0)",0.0,55.0,2 dorm.,35.0,ph,1,images/18267748.jpg,https://proxy.sosiva451.com/proxy/576664D2AAA9810D0E71510C480E2F264190EEECAEC5531868F830E1582AFB134588CC84B2DDF34B289E95B1742D201E4E0F5FEE12AD48E52BFC66521EF62E3BC0FC92AFF5D0B804BF14943BFC7117E745C4CD488FF0C9E448EC06C26A18BC14,-34.64301,-58.52725
16407764,https://www.argenprop.com/departamento-en-venta-en-villa-luro-2-ambientes--16407764,"('usd', 145000.0)",0.0,46.0,1 dorm.,0.0,departamento,120,images/16407764.jpg,https://proxy.sosiva451.com/proxy/340682EF3391525FE262B101554D5C011357DCE9A0BAB3FE307E53AE3B33247A7D128F653E7B67D7F3053D3FB7277FB3F423E7F6CF1128D4CDAF6D2FFECF0F22A0A85944317F2385407C5DC806F437D589E3CDCDE001C537255037DC050290BE,-34.64016,-58.50946
10922154,https://www.argenprop.com/departamento-en-venta-en-liniers-3-ambientes--10922154,"('usd', 185000.0)",0.0,80.0,2 dorm.,2.0,departamento,0,images/10922154.jpg,https://proxy.sosiva451.com/proxy/80C07D12CCC2B2DB8687B5DC059B71F3EB8F42FB37B6DA2050AEE0D0515020A74C07E8A94315381253D9644C675C089FBD69758097C41FBB1D23DBEE3DD342A9A3D4E1EC0D383DF0A6D367D8EA34830ABB09E067BD2B656634E4FB014CE1A21B,-34.65203,-58.52671
18879669,https://www.argenprop.com/casa-en-venta-en-liniers-3-ambientes--18879669,"('usd', 500000.0)",0.0,210.0,2 dorm.,2.0,casa,123,images/18879669.jpg,https://proxy.sosiva451.com/proxy/205A4FC3CA88A1A5A727F8D1B7A41F361633D1B3FB7152F48096E18FD478E34C8FD3DABB11E5DA1B92FC2B6DF9BC37A3A50ED2C40D8A526FF4566D4EFCC0807DEB0A57881793F8685FB69AB6E013ADF101CCF66256E67A22C3AFCD15D76F4151,-34.6552,-58.52269
16498427,https://www.argenprop.com/departamento-en-venta-en-villa-luro-4-ambientes--16498427,"('usd', 300000.0)",0.0,93.0,3 dorm.,0.0,departamento,213,images/16498427.jpg,https://proxy.sosiva451.com/proxy/EDE981315A9CBC4F7ACECD884A7DBD60423B78D0C973A926570526C0F82E944678B50F9A23CE97824F20FDD56B0A0B89E5AC803251111B443178C0018D1A4BC9AD9C25D15C0E9C0E89524F15319B7316587B2AA370C01416188C988501CEF510,-34.64021,-58.50034
8319383,https://www.argenprop.com/ph-en-venta-en-liniers-3-ambientes--8319383,"('usd', 139999.0)",0.0,130.0,2 dorm.,27.0,ph,29,images/8319383.jpg,https://proxy.sosiva451.com/proxy/41ACA1C60121B6299E3BC05BFB5C1BC0DB32C0D81B1DD9F87B7EF81F352A8854BE7A187BBB69EB5BC54DBA564ECDF24FE489DF86451D3B8346D7FC1FD9E3812E3089BEDFC3459B5D7EE492D0A687BC1AFE4521076F1AB0D7B21D36015448D319,-34.64678,-58.50943
15244522,https://www.argenprop.com/departamento-en-venta-en-villa-luro-4-ambientes--15244522,"('usd', 335000.0)",0.0,90.0,3 dorm.,0.0,departamento,28,images/15244522.jpg,https://proxy.sosiva451.com/proxy/DD8C90FF621FD4EE1761F177EE7C96466ECECBAFB56B1624CD6F7C68EDDD75E38BF1FE85872AC301CCE921862F474190BB56E6FC1777271016DAD187F162295F8750B1A53D26C8584BF0ADC843654F511E3CCCCE9608916F388DCD1F1496C395,-34.64402,-58.51113
18619030,https://www.argenprop.com/departamento-en-venta-en-once-3-ambientes--18619030,"('usd', 89000.0)",0.0,87.0,2 dorm.,50.0,departamento,1,images/18619030.jpg,https://proxy.sosiva451.com/proxy/991B0BE828FD6099C50A0C68E748916436E3FC98EB8CC8EF2BCD3C2B32B5A6060C6CCF8F5915905EBD93FE47633009657CC42F1D36FA311AB549A224D50BB1308222536514201D892C491244ABCC69A4F99C5DFD4051150BA54AE1946C9BB6A8,-34.60405,-58.40083
8421765,https://www.argenprop.com/departamento-en-venta-en-liniers-3-ambientes--8421765,"('usd', 100000.0)",14700.0,60.0,2 dorm.,45.0,departamento,1,images/8421765.jpg,https://proxy.sosiva451.com/proxy/A23BD755E55A3793A11E03FFE79DEE18A2F5430C17DACA5D345D1848BEB37CDF54B579249DB34F4C5271582AEA008C42CDC3599F82FCC4800BFFA60294071E43AAD48F4AA654A3955B293444EFCDAC9C4B6B2EF098C26B4EED7D36658FFFFEB3,-34.64057,-58.52888
16863341,https://www.argenprop.com/departamento-en-venta-en-liniers-1-ambiente--16863341,"('usd', 72000.0)",0.0,44.0,,0.0,departamento,27,images/16863341.jpg,https://proxy.sosiva451.com/proxy/EC83280F548B84C8AAA51B785FE76C8CAE1C80EA9765D01BD4030E65F0A208E46A2DA273CB75C698F32E8878172979D428D0A263B2BDCB9A128A78BA9A521A9FB342162B071787D7A9D2B868525297977D07186AE3DD591559A1B42F5B41E927,-34.63894,-58.52121
18435877,https://www.argenprop.com/ph-en-venta-en-liniers-4-ambientes--18435877,"('usd', 220000.0)",0.0,120.0,3 dorm.,40.0,ph,2,images/18435877.jpg,https://proxy.sosiva451.com/proxy/E83BBC3F9B01C6F50DEFA2EF6EF8F8D8C7C2EEFE925899E3C728AA705B39DCBE84CD04BF4EA8CDCAC47F4D916E8A572FA57562925E743EEB253DC923D4C24A251D9F5FC5D1FC868F111A0C35CFAB16DFF787D13A452325E2EAF632670C838B39,-34.64027,-58.52887
