id;url;precio;expensas;area_m2;dormitorios;antiguedad;puntaje_arg_prop;imagen_path;image_url;lat;lon;valido_desde;valido_hasta;geometry;index_right;nombre;comuna;ambientes;precio_m2;superficie_por_ambientes;tipo_inmueble_departamento;tipo_inmueble_ph
18834296;https://www.argenprop.com/departamento-en-venta-en-balvanera-1-ambiente--18834296;48000.0;56000.0;32.0;0;46.0;0;images/18834296.jpg;https://www.argenprop.com/static-content/69243881/dcf4b389-9eb0-4201-ace7-68195b31fcc4_u_small.jpg;-3.460.539;-5.841.221;2026-01-19 22:21:23.703211;;POINT (-6502417.473309763 -4110383.691170706);2.0;Balvanera;3.0;1;1500.0;32.0;True;False
18338133;https://www.argenprop.com/departamento-en-venta-en-abasto-2-ambientes--18338133;49500.0;0.0;42.0;1 dorm.;5.939.942.528.735.630;1;images/18338133.jpg;https://www.argenprop.com/static-content/33183381/67bec277-f0d3-49fd-9b48-022bb784aefa_u_small.jpg;-346.052;-5.841.188;2026-01-19 22:21:40.073828;;POINT (-6502380.7378778 -4110357.9942720444);2.0;Balvanera;3.0;2;11.785.714.285.714.200;21.0;True;False
16052993;https://www.argenprop.com/departamento-en-venta-en-balvanera-3-ambientes--16052993;65000.0;75000.0;39.0;2 dorm.;40.0;6;images/16052993.jpg;https://proxy.sosiva451.com/proxy/070594EC6DD70658D11336690BBF2401E7FDE38B0DAB4B12EE7ED2AD1E7FED3E260CBE27C388EF34F16B8466BF6A951291B7A50E6C92216A26520FD67431EF5E509EBB497FBF89DD06B563E3D991932DF6F9D8D4272E1E19BD22D3F2F14C8F75;-3.460.644;-5.841.143;2026-01-17 23:35:45.401949;;POINT (-6502330.644106943 -4110525.70140784);2.0;Balvanera;3.0;3;16.666.666.666.666.600;13.0;True;False
17446848;https://www.argenprop.com/ph-en-venta-en-barracas-2-ambientes--17446848;43000.0;0.0;40.0;1 dorm.;50.0;20;images/17446848.jpg;https://www.argenprop.com/static-content/84864471/74c48b33-1231-4839-9a9a-57b5119d0ff4_u_small.jpg;-3.464.551;-5.838.139;2026-01-19 22:20:36.991296;;POINT (-6498986.606603514 -4115811.112081839);3.0;Barracas;4.0;2;1075.0;20.0;False;True
18647299;https://www.argenprop.com/departamento-en-venta-en-belgrano-2-ambientes--18647299;159900.0;230000.0;58.0;1 dorm.;25.0;3522;images/18647299.jpg;https://www.argenprop.com/static-content/99274681/31e6ec32-6388-40f8-ae75-3ad5d9d39928_u_small.jpg;-3.456.247;-58.443.005;2026-01-19 01:57:22.892524;;POINT (-6505845.557028742 -4104580.3894740436);4.0;Belgrano;13.0;2;2.756.896.551.724.130;29.0;True;False
18647309;https://www.argenprop.com/departamento-en-venta-en-las-canitas-2-ambientes--18647309;159900.0;230000.0;59.0;1 dorm.;25.0;3002;images/18647309.jpg;https://www.argenprop.com/static-content/90374681/cef749bc-c0a6-444c-a490-934d257ec481_u_small.jpg;-3.456.247;-58.443.005;2026-01-19 01:57:27.962568;;POINT (-6505845.557028742 -4104580.3894740436);4.0;Belgrano;13.0;2;2.710.169.491.525.420;29.5;True;False
18876395;https://www.argenprop.com/departamento-en-venta-en-belgrano-4-ambientes--18876395;430000.0;750000.0;135.0;3 dorm.;26.0;0;images/18876395.jpg;https://proxy.sosiva451.com/proxy/732AD518FDA634D84177416925491DF4F1DEF144501A0AA69CB1FFD2BD6E78CD432238D339AA05FFDF899E95083B202E93D4A6A5DDCA5026B1E21DCE3EDFB0459D139F486E7B285F5C330094066ED5E5843289340F2DD0C5C7717A373E8BDDB3AF857C0F60753D793E3707EB31A7733C8DCDEDB8724EF6545FA00499EF2DF96C547793C3205381EBB68904F4E977B517EC9D9194D7174C867CC9D42FDFD1F59F;-3.456.271;-584.426;2026-01-17 23:35:34.118174;;POINT (-6505800.47263497 -4104612.8320389334);4.0;Belgrano;13.0;4;3.185.185.185.185.180;33.75;True;False
15717203;https://www.argenprop.com/departamento-en-venta-en-belgrano-5-ambientes--15717203;585000.0;560000.0;198.0;4 dorm.;40.0;4251;images/15717203.jpg;https://www.argenprop.com/static-content/30271751/73696108-dd47-4318-a288-5157aaa09cb3_u_small.jpg;-34.562.244;-58.449.642;2026-01-19 01:57:16.126174;;POINT (-6506584.384489136 -4104549.83947769);4.0;Belgrano;13.0;5;29.545.454.545.454.500;39.6;True;False
18193500;https://www.argenprop.com/departamento-en-venta-en-belgrano-5-ambientes--18193500;830000.0;1994000.0;160.0;4 dorm.;3.0;1500;images/18193500.jpg;https://www.argenprop.com/static-content/00539181/55c8c841-117b-457b-a653-9b41ef14f9d5_u_small.jpg;-34.561.615;-58.449.066;2026-01-19 01:58:13.672666;;POINT (-6506520.264462439 -4104464.8135974323);4.0;Belgrano;13.0;5;5187.5;32.0;True;False
18172428;https://www.argenprop.com/departamento-en-venta-en-caballito-4-ambientes--18172428;125000.0;230000.0;84.0;3 dorm.;44.0;0;images/18172428.jpg;https://www.argenprop.com/static-content/82427181/804ba2b4-df2a-4a4e-a3c1-189d6611ee1f_u_small.jpg;-3.461.421;-5.843.436;2026-01-17 17:32:05.396443;;POINT (-6504883.2000308335 -4111576.63298132);7.0;Caballito;6.0;4;1.488.095.238.095.230;21.0;True;False
